feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
packing fraction,0.05825759751146807,0.036235400466603875,0.010840668784372861,True
endmember_MagpieData mean NpValence,0.03903544100563763,0.021710182323456374,0.008069161277325276,True
endmember_MagpieData range Column,0.03520825882513102,0.019354388312557497,0.007340439601931933,True
MagpieData maximum Column,0.030910970787466942,0.017997127756959656,0.006608773432344854,True
delta_valency_vs_Li,0.031231446378819985,0.017893315454688127,0.006933741907581283,True
MagpieData minimum NpValence,0.029228789746788632,0.017586400884469524,0.0067933976515741745,True
MagpieData maximum MendeleevNumber,0.03162516565877329,0.01726675980064318,0.006557375321252518,True
mp_n_experimental,0.030232316710318532,0.017153329778229094,0.0057276740877906535,True
mp_n_candidates,0.022153180302665776,0.013757447292031757,0.006019632297560848,True
endmember_MagpieData avg_dev GSvolume_pa,0.02569753204652725,0.011811390752774806,0.004630414669727411,True
endmember_MagpieData range GSvolume_pa,0.025971292269589632,0.01092214365789471,0.004152853970053065,True
endmember_MagpieData mean Row,0.017582208188685947,0.010654527079711276,0.00237038349535802,True
delta_chi_vs_Li,0.013958949760978993,0.009508628327598223,0.0026043363298516122,True
endmember_nsites,0.014542509798686683,0.008279960730291991,0.003187253033404984,True
MagpieData mean GSvolume_pa,0.02457509654448717,0.008109133452235517,0.004249252677492604,True
endmember_MagpieData mean NValence,0.015659928536848777,0.008052423120836339,0.0029610351973418355,True
endmember_packing fraction,0.0194902594998577,0.00754275846501104,0.002273441188811512,True
endmember_MagpieData mean NpUnfilled,0.011530738162536094,0.007485435469177468,0.0038447090554865936,True
endmember_MagpieData range Electronegativity,0.01088317174480632,0.007476760784583291,0.0023178091658682077,True
endmember_density,0.013424582201953935,0.006501681347992958,0.0018495966406091016,True
endmember_MagpieData mean NsValence,0.013551178987814057,0.006344595672542866,0.0013150274774866295,True
endmember_MagpieData range NValence,0.0090820222644055,0.006332127865664078,0.0019250815963022087,True
endmember_MagpieData range NUnfilled,0.009000946973459507,0.006089417173428091,0.002313997815491049,True
endmember_MagpieData maximum NUnfilled,0.01171321670814962,0.006085421348269615,0.0018922402789586616,True
endmember_MagpieData avg_dev MeltingT,0.009774955336383779,0.006047168364677493,0.0015039300238555377,True
endmember_MagpieData mean MendeleevNumber,0.011863300796210311,0.006011726514955356,0.0017145923099197193,True
endmember_MagpieData mean AtomicWeight,0.014358528127313091,0.005867322061278826,0.00153057849881461,True
endmember_MagpieData avg_dev NsUnfilled,0.00888117941236324,0.005512045796111073,0.002762519010691165,True
endmember_MagpieData mean Number,0.010113421368549178,0.005448980611737736,0.0011170137729370614,True
density,0.012091507327646514,0.005441207792294314,0.0018914826345946686,True
endmember_MagpieData range MeltingT,0.00882650228524518,0.005363098662791882,0.0015052537821661192,True
endmember_vpa,0.011691097417478508,0.00513544133454952,0.0009521502494226348,True
endmember_MagpieData minimum MendeleevNumber,0.00766869674707033,0.005082179984699423,0.0013795104954542625,True
MagpieData maximum CovalentRadius,0.01236916113425643,0.005010871509756637,0.0008860983413850623,True
