feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
packing fraction,0.08517550838088946,0.057503236949617155,0.014963194834518943,True
MagpieData maximum NpValence,0.06021646006085102,0.039994754639773596,0.014006898667596095,True
MagpieData minimum Column,0.0618950568676899,0.03963618461130276,0.012186370874095258,True
MagpieData maximum MendeleevNumber,0.05841199989586497,0.03499868552032088,0.011109501457085731,True
delta_valency_vs_Li,0.05061530827931526,0.03316421988866077,0.010733355817510264,True
mp_n_candidates,0.0487734154186055,0.029164969546073876,0.010378742130151872,True
mp_n_experimental,0.05317914560837775,0.028373580325627545,0.008550862846610774,True
MagpieData maximum Electronegativity,0.04016642280913734,0.027763949689999602,0.007264847400058394,True
MagpieData minimum Number,0.031357637793783456,0.021796860480509203,0.004825326010278911,True
density,0.03233143298670213,0.021517294022064388,0.0038038292003280904,True
MagpieData maximum NValence,0.03405537158977358,0.01991161913060281,0.004340519043107238,True
endmember_density,0.033765071132709976,0.016976055714460123,0.0031882578982347382,True
MagpieData mode GSvolume_pa,0.046719197173614634,0.016669354400466418,0.006920193213814142,True
endmember_nsites,0.023462607993692843,0.015791944140251826,0.0053022452602889195,True
delta_r_vs_Li_pm,0.02684984104219175,0.01557098984542036,0.0037102551199756444,True
MagpieData mean Row,0.020751749918708297,0.014418258494918854,0.003904753740729799,True
MagpieData maximum CovalentRadius,0.030330789172442182,0.014318585102565378,0.0027537415192061543,True
endmember_energy_per_atom,0.027523190053273267,0.013719993880134701,0.002279720284261774,True
vpa,0.032602260897927476,0.012258203162556292,0.003718754380683353,True
MagpieData mean NpUnfilled,0.01650210792191935,0.011079988797506666,0.004733981784561297,True
MagpieData mode NdValence,0.01631982792408287,0.010852043662550081,0.004015384785691797,True
MagpieData mean MeltingT,0.020004281648965894,0.01067228424751732,0.003309743126499136,True
endmember_spacegroup_number,0.01731766918498574,0.010040974794929148,0.0029898133148879573,True
MagpieData minimum NUnfilled,0.017626657105348425,0.00923120468833578,0.002943520797280712,True
MagpieData mode SpaceGroupNumber,0.02129965616518903,0.006507363426518387,0.0018650203784852809,True
spacegroup_num,0.013204103883376523,0.006130868960722738,0.0017369389843596582,True
MagpieData minimum NsValence,0.011079378756472417,0.005891605026001676,0.0018376132586248374,True
mp_n_near_hull,0.00788693782051761,0.005882979322377718,0.0023248350704167964,True
endmember_fraction,0.00830766836269593,0.005726608438347899,0.0018271189774487478,True
n_symmetry_ops,0.012205436360204474,0.0055537020408605395,0.002045400876004867,True
