feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_MagpieData mean GSvolume_pa,0.04203720350485868,0.0467221567425755,0.010142668440002205,True
endmember_MagpieData maximum GSvolume_pa,0.03627837938570703,0.04185689239307002,0.009289357684354665,True
endmember_MagpieData mean CovalentRadius,0.033570305606175674,0.03756912575249512,0.007843659195501276,True
endmember_MagpieData mode CovalentRadius,0.03517534731359301,0.030131476045313743,0.006310916513079381,True
endmember_MagpieData maximum CovalentRadius,0.026048347365451297,0.029896660328283274,0.006221827086662046,True
endmember_MagpieData minimum MeltingT,0.04167423161149165,0.027740937592932436,0.008270296070792299,True
endmember_MagpieData maximum MeltingT,0.038023028942449,0.027276869079665377,0.008095034254675152,True
endmember_vpa,0.027823217727318862,0.027186481609062084,0.00666832597813349,True
endmember_MagpieData mean MeltingT,0.03591924400245587,0.025662527312920617,0.007225472082812921,True
endmember_MagpieData mode GSvolume_pa,0.02551887025223102,0.02490523883417717,0.005415040066095341,True
endmember_packing fraction,0.018836028987444832,0.02152095578698141,0.006281045691044151,True
endmember_MagpieData mean Electronegativity,0.028946163758780598,0.02023838296125923,0.0037652810882190415,True
endmember_MagpieData maximum NUnfilled,0.020761948939963012,0.019827185627740797,0.003998263931668914,True
endmember_MagpieData minimum Electronegativity,0.029815972453386116,0.018784802274349734,0.0033849422799301916,True
endmember_MagpieData maximum MendeleevNumber,0.026125672185526305,0.018373287066849386,0.0024515355798068253,True
endmember_MagpieData maximum NdUnfilled,0.023613655426236238,0.016689487865227413,0.0034792322041366053,True
endmember_MagpieData maximum Electronegativity,0.021216077486384956,0.014095041585315281,0.0027791666945016775,True
endmember_n_symmetry_ops,0.026625603956544508,0.013836140509589426,0.0017003532595149108,True
endmember_MagpieData mode MendeleevNumber,0.016775163246967636,0.012713556015913632,0.003011581558625058,True
endmember_MagpieData mean NUnfilled,0.016559857505295053,0.012711460613600876,0.0019809439653412078,True
endmember_MagpieData minimum NdUnfilled,0.02060822891873521,0.01229105483150331,0.0023294998425504665,True
endmember_MagpieData mean MendeleevNumber,0.019230736562079097,0.01215304272910194,0.0023370663674139574,True
endmember_MagpieData mean Row,0.011293588329388636,0.009252093566905437,0.0019280522352959572,True
