feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
packing fraction,0.0780795434656409,0.05149145037236895,0.018108100907806145,True
MagpieData maximum Column,0.06514459501082116,0.04714831455453944,0.01390746919171997,True
delta_valency_vs_Li,0.06638168841227952,0.04663948117953257,0.016446048906194354,True
mp_n_experimental,0.058154095860131205,0.04557189613933787,0.01783967583369992,True
MagpieData mode NpValence,0.04512833326874808,0.03949854311623695,0.014749517076620453,True
mp_n_candidates,0.05364158606239851,0.03749011197497004,0.01257761661988177,True
MagpieData mode GSvolume_pa,0.04940541038568949,0.031664340609242524,0.011355334154183074,True
endmember_density,0.03988389283746976,0.02867199775012529,0.012098440667997342,True
endmember_fraction,0.025866902088510432,0.023304247620249328,0.008923903227217993,True
n_symmetry_ops,0.03517936724096581,0.02190657811612229,0.009629141345851378,True
MagpieData mean Electronegativity,0.029085974367322805,0.02177668691494918,0.0072905462846144815,True
MagpieData mean NValence,0.03936752561019308,0.021595926990408007,0.006809447127769843,True
MagpieData maximum Number,0.030973325380720895,0.020653508894333355,0.0073539815269808295,True
endmember_volume,0.03716330124144362,0.01954976079062972,0.008871221082991826,True
MagpieData minimum CovalentRadius,0.033486354632647916,0.01662913430366041,0.005043100096141356,True
endmember_spacegroup_number,0.022441105393730683,0.015383383751810097,0.007110411966031698,True
density,0.031632231019651846,0.015356262460318702,0.006716385962431493,True
endmember_energy_per_atom,0.03603830534197802,0.014551715768767837,0.007111783861034474,True
MagpieData maximum MeltingT,0.030190543704725313,0.013320844554960125,0.003784891014112723,True
MagpieData minimum NsValence,0.026344105684070813,0.013318812572153308,0.006309883908566297,True
delta_r_vs_Li_pm,0.023475063054716635,0.012340274592600226,0.0036424178357552786,True
MagpieData maximum NsUnfilled,0.01447667981611706,0.012008306233259831,0.006590769807622607,True
MagpieData maximum NUnfilled,0.02762194029251401,0.01173728777593451,0.0035734206865876868,True
crystal_system_int,0.01863385588116775,0.010650623380221215,0.005633466762127157,True
MagpieData maximum NpUnfilled,0.016208717723382737,0.010068822002183312,0.005421191308597415,True
spacegroup_num,0.017460379907332083,0.009506592149826498,0.0032740873691793375,True
MagpieData maximum SpaceGroupNumber,0.028282970892669693,0.009478666432678069,0.004158125758899959,True
MagpieData maximum Row,0.011889523664680131,0.0015497220969530768,0.001297064979578281,True
MagpieData minimum NfValence,0.006153706681811857,0.001473406893170295,0.0010819920029787433,True
MagpieData mean NdValence,0.0006175053568748042,0.0003094497079641556,0.00030781541021736146,True
mp_n_near_hull,0.0015914697195933117,0.0002964102825121495,0.0004593498984951252,False
mp_theoretical,0.0,5.329070518200751e-17,5.546672453247935e-17,False
endmember_is_stable,0.0,4.884981308350689e-17,5.511002163945225e-17,False
MagpieData avg_dev GSmagmom,0.0,4.4408920985006264e-17,5.438959822042073e-17,False
MagpieData mean GSbandgap,0.0,3.9968028886505634e-17,5.329070518200752e-17,False
MagpieData range Column,0.0,3.552713678800501e-17,5.1789256393111495e-17,False
MagpieData range NfValence,0.0,3.552713678800501e-17,5.17892563931115e-17,False
MagpieData range NpValence,0.0,3.552713678800501e-17,5.1789256393111495e-17,False
MagpieData range Electronegativity,0.0,3.552713678800501e-17,5.17892563931115e-17,False
MagpieData avg_dev NdUnfilled,0.0,3.552713678800501e-17,5.17892563931115e-17,False
mp_is_theoretical_fallback,0.0,3.1086244689504386e-17,4.9848890172662696e-17,False
MagpieData range Row,0.0,3.1086244689504386e-17,4.9848890172662696e-17,False
