Dopant,chem_pot_eV,delta_eV
Be,-3.74055,0.00000
Li,-1.90733,0.00000
Na,-1.31428,0.00000
Mg,-1.48842,0.00000
Al,-4.29761,-0.54462
Si,-5.42452,0.00000
K,-1.08978,0.00000
Ca,-2.06402,-0.06647
Sc,-6.33141,0.00000
Ti,-7.89793,0.00000
V,-9.08533,0.00000
Cr,-9.62385,0.00000
Mn,-9.16047,0.00000
Fe,-8.47199,0.00000
Co,-7.10862,0.00000
Ni,-5.78023,0.00000
Cu,-4.10402,0.00000
Zn,-1.72248,-0.45553
Ga,-3.97474,-0.94643
Ge,-6.15632,-1.64075
Se,-7.36098,-3.86568
Y,-6.46419,0.00000
Zr,-8.54753,0.00000
Nb,-10.10483,0.00000
Mo,-10.84940,0.00000
Ru,-9.27835,0.00000
Rh,-7.77030,-0.42516
Pd,-6.49267,-1.30658
Ag,-3.28808,-0.46726
Cd,-1.45477,-0.55682
In,-3.94175,-1.20313
Sn,-5.95505,-1.95145
Sb,-6.76603,-2.64209
La,-4.92622,0.00000
Ce,-5.93217,0.00000
Nd,-4.76234,0.00000
Sm,-4.64649,0.00000
Hf,-9.95260,0.00000
Ta,-11.84334,0.00000
W,-12.97532,0.00000
Re,-12.44638,0.00000
Os,-11.22925,0.00000
Ir,-9.36219,-0.51087
Pt,-7.73327,-1.68549
Au,-4.99509,-1.73138
Hg,-1.47221,-1.16949
Tl,-3.15097,-0.91582
Pb,-5.32346,-1.62184
Bi,-6.11094,-2.22442
B,-7.04903,-0.37029
Pr,-4.77469,0.00000
