element,vac_binding_energy_eV,vac_position,solution_energy_eV,mp_material_id,mp_formula_pretty,mp_energy_per_atom,mp_energy_above_hull,mp_theoretical,mp_is_stable,mp_crystal_system,mp_spacegroup_symbol,mp_spacegroup_number,mp_density,mp_volume,mp_nsites,mp_selection_rule,mp_e_hull_max_eV_per_atom,mp_is_theoretical_fallback,mp_n_candidates,mp_n_experimental,mp_n_near_hull,mp_material_id_forced,mp_error,delta_r_vs_Li_pm,delta_valency_vs_Li,delta_chi_vs_Li,mu_dopant_eV,mu_dopant_delta_vs_elemental_eV,mp_hull_unstable,endmember_formula,endmember_material_id_raw,endmember_material_id,endmember_fraction,endmember_mp_material_id,endmember_formula_pretty,endmember_energy_per_atom,endmember_energy_above_hull,endmember_theoretical,endmember_is_stable,endmember_crystal_system,endmember_spacegroup_symbol,endmember_spacegroup_number,endmember_density,endmember_volume,endmember_nsites,endmember_selection_rule,endmember_e_hull_max_eV_per_atom,endmember_is_theoretical_fallback,endmember_n_candidates,endmember_n_experimental,endmember_n_near_hull,endmember_material_id_forced,endmember_error
Na,0.07742,near,0.18167,mp-127,Na,-3.5484083,0.0157722699999998,0,0,Cubic,Im-3m,229,1.024636726390734,37.25750706727941,1,hull_window_min_nsites_lt,0.02,0,17,7,4,0,,34,0,-0.04999999999999993,,,1,Na,mp-127-r2SCAN,mp-127,0.0078125,mp-127,Na,-3.5484083,0.0157722699999998,False,False,Cubic,Im-3m,229,1.024636726390734,37.25750706727941,1,endmember_reference,0.1,False,1,1,1,True,
Mg,0.00961,2NN,-0.15375,mp-153,Mg,-4.169303585,0.0,0,1,Hexagonal,P6_3/mmc,194,1.8017993871104936,44.79899633535127,2,hull_window_min_nsites_lt,0.02,0,9,3,1,0,,8,1,0.33000000000000007,,,0,Mg,mp-153-r2SCAN,mp-153,0.0078125,mp-153,Mg,-4.169303585,0.0,False,True,Hexagonal,P6_3/mmc,194,1.8017993871104936,44.79899633535127,2,endmember_reference,0.1,False,1,1,1,True,
Cu,0.06406,2NN,0.13912,mp-30,Cu,-10.846796,0.0,0,1,Cubic,Fm-3m,225,9.218996060025669,11.445998564977856,1,hull_window_min_nsites_lt,0.02,0,8,2,1,0,,-24,0,0.9199999999999999,,,0,Cu,mp-30-r2SCAN,mp-30,0.0078125,mp-30,Cu,-10.846796,0.0,False,True,Cubic,Fm-3m,225,9.218996060025669,11.445998564977856,1,endmember_reference,0.1,False,1,1,1,True,
Zn,0.07767,near,0.07941,mp-79,Zn,-8.910602605,0.0,0,1,Hexagonal,P6_3/mmc,194,7.530857330656824,28.845108913918352,2,hull_window_min_nsites_lt,0.02,0,8,1,1,0,,-18,1,0.6699999999999999,,,0,LiZn,mp-1934-r2SCAN,mp-1934,0.0078125,mp-1934,LiZn,-5.8687600975,0.0,False,True,Cubic,Fd-3m,227,4.3109824680118045,55.736715483220095,4,endmember_reference,0.1,False,1,1,1,True,
Ga,0.09961,near,0.06493,mp-142,Ga,-11.44277595,0.0,0,1,Orthorhombic,Cmce,64,6.037763290229381,76.70242103705301,4,hull_window_min_nsites_lt,0.02,0,8,6,1,0,,-17,2,0.8300000000000001,,,0,Li2Ga,mp-29210-r2SCAN,mp-29210,0.0078125,mp-29210,Li2Ga,-5.741142336666667,0.0,False,True,Orthorhombic,Cmcm,63,3.073765027419936,90.33180325666436,6,endmember_reference,0.1,False,1,1,1,True,
Ge,0.22611,near,0.21988,mp-32,Ge,-13.87197758,0.0,0,1,Cubic,Fd-3m,227,5.280205111627243,45.68820923290832,2,hull_window_min_nsites_lt,0.02,0,17,14,3,0,,-30,3,1.0299999999999998,,,0,Li15Ge4,mp-1777-r2SCAN,mp-1777,0.0078125,mp-1777,Li15Ge4,-2.807986284736842,0.0,False,True,Cubic,I-43d,220,2.204826685254165,594.4895908681834,38,endmember_reference,0.1,False,1,1,1,True,
Rh,0.09293,2NN,0.04169,mp-74,Rh,-24.13622863,0.0,0,1,Cubic,Fm-3m,225,12.397977691611958,13.782780337825384,1,hull_window_min_nsites_lt,0.02,0,5,1,1,0,,-18,2,1.2999999999999998,,,0,LiRh,mp-600561-r2SCAN,mp-600561,0.015625,mp-600561,LiRh,-13.44747386,0.0,False,True,Hexagonal,P-6m2,187,6.9200978525877295,26.35864531394042,2,endmember_reference,0.1,False,1,1,1,True,
Pd,0.14238,near,0.16735,mp-2,Pd,-22.96045361,0.0,0,1,Cubic,Fm-3m,225,11.759025238417776,15.02799459406926,1,hull_window_min_nsites_lt,0.02,0,4,1,1,0,,-15,1,1.2200000000000002,,,0,Li15Pd4,mp-1197547-r2SCAN,mp-1197547,0.037109375,mp-1197547,Li15Pd4,-6.957823810263158,0.0,False,True,Cubic,I-43d,220,2.989455744777025,588.5655257185209,38,endmember_reference,0.1,False,1,1,1,True,
Ag,0.1293,near,-0.11688,mp-124,Ag,-21.35375043,0.0021267149999992,0,0,Cubic,Fm-3m,225,10.362566650857447,17.28523120082949,1,hull_window_min_nsites_lt,0.02,0,5,3,3,0,,-8,0,0.95,,,1,LiAg,mp-2426-r2SCAN,mp-2426,0.015625,mp-2426,LiAg,-12.05174388,0.0,False,True,Cubic,Pm-3m,221,6.2606319363997605,30.4514247136979,2,endmember_reference,0.1,False,1,1,1,True,
Cd,0.07245,2NN,-0.21207,mp-94,Cd,-20.10498769,0.0,0,1,Hexagonal,P6_3/mmc,194,8.367710226038955,44.61503857901331,2,hull_window_min_nsites_lt,0.02,0,5,1,1,0,,-1,1,0.71,,,0,LiCd,mp-1437-r2SCAN,mp-1437,0.015625,mp-1437,LiCd,-11.521597055,0.0,False,True,Cubic,Fd-3m,227,5.35549291275739,74.01322798192189,4,endmember_reference,0.1,False,1,1,1,True,
In,0.09685,2NN,0.10671,mp-85,In,-22.57859038,0.0,0,1,Cubic,Fm-3m,225,7.224009411826607,26.392514730548744,1,hull_window_min_nsites_lt,0.02,0,7,2,2,0,,15,2,0.8,,,0,Li13In3,mp-510430-r2SCAN,mp-510430,0.0416666666666666,mp-510430,Li13In3,-6.4279795915625,0.0,False,True,Cubic,Fd-3m,227,2.5017113544371603,577.0567775306141,32,endmember_reference,0.1,False,1,1,1,True,
Sn,0.16971,near,0.19693,mp-117,Sn,-24.74618378,0.0,0,1,Cubic,Fd-3m,227,5.560776479834602,70.8975063415447,2,hull_window_min_nsites_lt,0.02,0,9,5,1,0,,-12,3,0.98,,,0,Li17Sn4,mp-573471-r2SCAN,mp-573471,0.0078125,mp-573471,Li17Sn4,-2.659860033428572,0.0,False,True,Cubic,F-43m,216,2.58954885269772,1900.773177103369,105,endmember_reference,0.1,False,1,1,1,True,
Sb,0.21557,near,0.29842,mp-104,Sb,-25.70631573,0.0,0,1,Trigonal,R-3m,166,6.4307883725126525,62.88101094911325,2,hull_window_min_nsites_lt,0.02,0,14,9,1,0,,-12,4,1.0699999999999998,,,0,Li3Sb,mp-7955-r2SCAN,mp-7955,0.03125,mp-7955,Li3Sb,-8.96872171,0.0,False,True,Hexagonal,P6_3/mmc,194,3.016532153749956,156.9780330499643,8,endmember_reference,0.1,False,1,1,1,True,
Pt,0.06749,2NN,0.00829,mp-126,Pt,-51.4877169,0.0,0,1,Cubic,Fm-3m,225,21.134925773252466,15.327454053856243,1,hull_window_min_nsites_lt,0.02,0,3,1,1,0,,-13,1,1.2999999999999998,,,0,Li2Pt,mp-2170-r2SCAN,mp-2170,0.0234375,mp-2170,Li2Pt,-19.34235308,0.0,False,True,Hexagonal,P6/mmm,191,8.710751859323272,39.83539109824836,3,endmember_reference,0.1,False,1,1,1,True,
Au,0.08207,2NN,0.20308,mp-81,Au,-50.58496015,0.0,0,1,Cubic,Fm-3m,225,18.02564920807207,18.14473805188449,1,hull_window_min_nsites_lt,0.02,0,4,1,1,0,,-8,0,1.56,,,0,Li15Au4,mp-567395-r2SCAN,mp-567395,0.037109375,mp-567395,Li15Au4,-12.887390792894736,0.0,False,True,Cubic,I-43d,220,4.834737480648887,612.7198274866086,38,endmember_reference,0.1,False,1,1,1,True,
Hg,0.09775,2NN,0.07893,mp-10861,Hg,-49.36484606333334,0.0029604591666583,0,0,Hexagonal,P6/mmm,191,12.121600992390167,82.43651941119958,3,forced_mp_id,0.02,0,1,1,1,1,,-1,1,1.02,,,1,Li3Hg,mp-1646-r2SCAN,mp-1646,0.0078125,mp-1646,Li3Hg,-14.4259365725,0.00129759,False,False,Cubic,Fm-3m,225,5.39086199804241,68.20151155794647,4,endmember_reference,0.1,False,1,1,1,True,
Tl,0.08939,2NN,-0.01354,mp-39,Tl,-53.16951429,0.0097902899999979,0,0,Cubic,Im-3m,229,11.33786227920608,29.93390167626574,1,hull_window_min_nsites_lt,0.02,0,6,3,2,0,,18,2,0.6400000000000001,,,1,Li3Tl,mp-7396-r2SCAN,mp-7396,0.03125,mp-7396,Li3Tl,-15.35628307,0.0,False,True,Cubic,Fm-3m,225,5.165667306999388,72.39410467069834,4,endmember_reference,0.1,False,1,1,1,True,
Pb,0.11396,2NN,0.16629,mp-20483,Pb,-56.28513411,0.0,0,1,Cubic,Fm-3m,225,11.079630631735755,31.05371528313505,1,hull_window_min_nsites_lt,0.02,0,7,4,1,0,,23,3,1.35,,,0,Li17Pb4,mp-574275-r2SCAN,mp-574275,0.0078125,mp-574275,Li17Pb4,-2.539882521142857,0.0,False,True,Cubic,F-43m,216,3.961250391360904,1984.4660820546048,105,endmember_reference,0.1,False,1,1,1,True,
Bi,0.15251,near,0.22998,mp-23152,Bi,-58.502273745,0.0,0,1,Trigonal,R-3m,166,9.48505505826716,73.1719777495792,2,hull_window_min_nsites_lt,0.02,0,17,10,1,0,,3,4,1.04,,,0,Li3Bi,mp-23222-r2SCAN,mp-23222,0.03125,mp-23222,Li3Bi,-17.043427615,0.0,False,True,Cubic,Fm-3m,225,5.095583583301973,74.88789412092665,4,endmember_reference,0.1,False,1,1,1,True,
