element,split,E_s_dft,E_b_dft,E_eff_dft,E_s_pred,E_b_pred,E_eff_pred
Na,test,0.18167,0.07742,0.10425,0.12805096005443686,0.0899285377475002,0.03812242230693666
Mg,test,-0.15375,0.00961,-0.00961,0.026084983852513025,0.09575808888269066,-0.06967310503017764
Cu,train,0.13912,0.06406,0.07505999999999999,0.13886614136041242,0.0691956829164767,0.06967045844393573
Zn,test,0.07941,0.07767,0.0017399999999999916,-0.03894156359195311,0.0913052270230327,-0.0913052270230327
Ga,train,0.06493,0.09961,-0.03468,0.06538991361298388,0.11564625055789128,-0.0502563369449074
Ge,test,0.21988,0.22611,-0.006230000000000013,0.2108262521368675,0.1488765558156951,0.06194969632117242
Rh,train,0.04169,0.09293,-0.05124,0.042471355894387164,0.09404836636139452,-0.051577010467007356
Pd,train,0.16735,0.14238,0.024969999999999992,0.16779751875202256,0.10140152139114567,0.0663959973608769
Ag,test,-0.11688,0.1293,-0.1293,-0.01347017394988212,0.0788826249134068,-0.0788826249134068
Cd,train,-0.21207,0.07245,-0.07245,-0.2099583806476648,0.09177598165381189,-0.09177598165381189
In,train,0.10671,0.09685,0.009859999999999994,0.1074628593548807,0.12152708790914249,-0.014064228554261787
Sn,test,0.19693,0.16971,0.027219999999999994,0.20435854352044025,0.15467914000027805,0.0496794035201622
Sb,train,0.29842,0.21557,0.08285000000000001,0.2967724078011814,0.16559479692430717,0.13117761087687424
Pt,test,0.00829,0.06749,-0.059199999999999996,0.12307211429130689,0.08504800631442676,0.038024107976880134
Au,train,0.20308,0.08207,0.12101,0.20186479510638852,0.09933479632131044,0.10252999878507808
Hg,test,0.07893,0.09775,-0.018820000000000003,0.18257813307957266,0.10325185171598578,0.07932628136358688
Tl,test,-0.01354,0.08939,-0.08939,0.09327398915872309,0.1067800430534868,-0.013506053894763712
Pb,test,0.16629,0.11396,0.05232999999999999,0.15915301619280817,0.13973716097960895,0.019415855213199218
Bi,train,0.22998,0.15251,0.07746999999999998,0.22986501868166764,0.15990551596451974,0.0699595027171479
