element,endmember_formula,endmember_material_id_raw,endmember_material_id,endmember_fraction,endmember_mp_material_id,endmember_formula_pretty,endmember_energy_per_atom,endmember_energy_above_hull,endmember_theoretical,endmember_is_stable,endmember_crystal_system,endmember_spacegroup_symbol,endmember_spacegroup_number,endmember_density,endmember_volume,endmember_nsites,endmember_selection_rule,endmember_e_hull_max_eV_per_atom,endmember_is_theoretical_fallback,endmember_n_candidates,endmember_n_experimental,endmember_n_near_hull,endmember_material_id_forced,endmember_error
Ag,LiAg,mp-2426-r2SCAN,mp-2426,0.015625,mp-2426,LiAg,-12.05174388,0.0,False,True,Cubic,Pm-3m,221,6.2606319363997605,30.4514247136979,2,endmember_reference,0.1,False,1,1,1,True,
Al,Li9Al4,mp-568404-r2SCAN,mp-568404,0.025390625,mp-568404,Li9Al4,-3.8923541884615385,0.0,False,True,Monoclinic,C2/m,12,1.3190716790201644,214.5052581570362,13,endmember_reference,0.1,False,1,1,1,True,
Au,Li15Au4,mp-567395-r2SCAN,mp-567395,0.037109375,mp-567395,Li15Au4,-12.887390792894736,0.0,False,True,Cubic,I-43d,220,4.8347374806488865,612.7198274866086,38,endmember_reference,0.1,False,1,1,1,True,
B,LiB,mp-1001835-r2SCAN,mp-1001835,0.015625,mp-1001835,LiB,-5.0912183675,0.0,False,True,Hexagonal,P6_3/mmc,194,1.3678437685165254,43.101252101967226,4,endmember_reference,0.1,False,1,1,1,True,
Be,Be,mp-87-GGA,mp-87,0.0078125,mp-87,Be,-3.739412865,0.0,False,True,Hexagonal,P6_3/mmc,194,1.8826149238156762,31.796370288803224,4,endmember_reference,0.1,False,1,1,1,True,
Bi,Li3Bi,mp-23222-r2SCAN,mp-23222,0.03125,mp-23222,Li3Bi,-17.043427615,0.0,False,True,Cubic,Fm-3m,225,5.095583583301973,74.88789412092665,4,endmember_reference,0.1,False,1,1,1,True,
Ca,Li2Ca,mp-570466-r2SCAN,mp-570466,0.0078125,mp-570466,Li2Ca,-3.9565776875,0.0,False,True,Hexagonal,P6_3/mmc,194,1.0595078153990543,338.2804236330248,12,endmember_reference,0.1,False,1,1,1,True,
Cd,LiCd,mp-1437-r2SCAN,mp-1437,0.015625,mp-1437,LiCd,-11.521597055,0.0,False,True,Cubic,Fd-3m,227,5.35549291275739,74.01322798192189,4,endmember_reference,0.1,False,1,1,1,True,
Ce,Ce,mp-28-r2SCAN,mp-28,0.0078125,mp-28,Ce,-30.84062876,0.0,False,True,Cubic,Fm-3m,225,9.123650342709297,25.50164500404376,1,endmember_reference,0.1,False,1,1,1,True,
Co,Co,mp-102-r2SCAN,mp-102,0.0078125,mp-102,Co,-13.23423113,0.0,False,True,Cubic,Fm-3m,225,9.026471238323484,10.841542632772713,1,endmember_reference,0.1,False,1,1,1,True,
Cr,Cr,mp-90-r2SCAN,mp-90,0.0078125,mp-90,Cr,-15.07334239,0.0,False,True,Cubic,Im-3m,229,6.5987767940037,26.16895772559837,2,endmember_reference,0.1,False,1,1,1,True,
Cu,Cu,mp-30-r2SCAN,mp-30,0.0078125,mp-30,Cu,-10.846796,0.0,False,True,Cubic,Fm-3m,225,9.218996060025667,11.445998564977856,1,endmember_reference,0.1,False,1,1,1,True,
Fe,Fe,mp-13-GGA,mp-13,0.0078125,mp-13,Fe,-8.47002121,0.0,False,True,Cubic,Im-3m,229,7.902858241785766,23.468168469356993,2,endmember_reference,0.1,False,1,1,1,True,
Ga,Li2Ga,mp-29210-r2SCAN,mp-29210,0.0078125,mp-29210,Li2Ga,-5.741142336666667,0.0,False,True,Orthorhombic,Cmcm,63,3.073765027419936,90.33180325666436,6,endmember_reference,0.1,False,1,1,1,True,
Ge,Li15Ge4,mp-1777-r2SCAN,mp-1777,0.0078125,mp-1777,Li15Ge4,-2.807986284736842,0.0,False,True,Cubic,I-43d,220,2.204826685254165,594.4895908681834,38,endmember_reference,0.1,False,1,1,1,True,
Hf,Hf,mp-103-r2SCAN,mp-103,0.0078125,mp-103,Hf,-45.15141539,0.0,False,True,Hexagonal,P6_3/mmc,194,13.312731494192928,44.52724349481806,2,endmember_reference,0.1,False,1,1,1,True,
Hg,Li3Hg,mp-1646-r2SCAN,mp-1646,0.0078125,mp-1646,Li3Hg,-14.4259365725,0.0012975900000000706,False,False,Cubic,Fm-3m,225,5.39086199804241,68.20151155794647,4,endmember_reference,0.1,False,1,1,1,True,
In,Li13In3,mp-510430-r2SCAN,mp-510430,0.041666666666666664,mp-510430,Li13In3,-6.4279795915625,0.0,False,True,Cubic,Fd-3m,227,2.5017113544371603,577.0567775306141,32,endmember_reference,0.1,False,1,1,1,True,
Ir,LiIr,mp-279-r2SCAN,mp-279,0.015625,mp-279,LiIr,-27.65712311,0.0,False,True,Hexagonal,P-6m2,187,12.456833041024145,26.54845246772127,2,endmember_reference,0.1,False,1,1,1,True,
