element,role,material_id,formula_pretty,energy_per_atom,energy_above_hull,theoretical,is_stable,crystal_system,spacegroup_symbol,spacegroup_number,density,volume,nsites,selection_rule,e_hull_max_eV_per_atom,is_theoretical_fallback,n_candidates,n_experimental,n_near_hull,material_id_forced,error
Li,host,mp-51,Li,-2.38503404,0.0016723733333336988,False,False,Cubic,Fm-3m,225,0.5664547506799501,20.347259270998425,1,hull_window_min_nsites_lt,0.02,False,9,5,5,False,
Ag,dopant,mp-124,Ag,-21.35375043,0.0021267149999992796,False,False,Cubic,Fm-3m,225,10.362566650857447,17.28523120082949,1,hull_window_min_nsites_lt,0.02,False,5,3,3,False,
Au,dopant,mp-81,Au,-50.58496015,0.0,False,True,Cubic,Fm-3m,225,18.02564920807207,18.14473805188449,1,hull_window_min_nsites_lt,0.02,False,4,1,1,False,
Bi,dopant,mp-23152,Bi,-58.502273745,0.0,False,True,Trigonal,R-3m,166,9.485055058267159,73.1719777495792,2,hull_window_min_nsites_lt,0.02,False,17,10,1,False,
Cd,dopant,mp-94,Cd,-20.10498769,0.0,False,True,Hexagonal,P6_3/mmc,194,8.367710226038955,44.61503857901331,2,hull_window_min_nsites_lt,0.02,False,5,1,1,False,
Cu,dopant,mp-30,Cu,-10.846796,0.0,False,True,Cubic,Fm-3m,225,9.218996060025667,11.445998564977856,1,hull_window_min_nsites_lt,0.02,False,8,2,1,False,
Ga,dopant,mp-142,Ga,-11.44277595,0.0,False,True,Orthorhombic,Cmce,64,6.037763290229381,76.70242103705301,4,hull_window_min_nsites_lt,0.02,False,8,6,1,False,
Ge,dopant,mp-32,Ge,-13.87197758,0.0,False,True,Cubic,Fd-3m,227,5.280205111627243,45.68820923290832,2,hull_window_min_nsites_lt,0.02,False,17,14,3,False,
Hg,dopant,mp-10861,Hg,-49.36484606333334,0.0029604591666583246,False,False,Hexagonal,P6/mmm,191,12.121600992390167,82.43651941119958,3,forced_mp_id,0.02,False,1,1,1,True,
In,dopant,mp-85,In,-22.57859038,0.0,False,True,Cubic,Fm-3m,225,7.224009411826607,26.392514730548744,1,hull_window_min_nsites_lt,0.02,False,7,2,2,False,
Mg,dopant,mp-153,Mg,-4.169303585,0.0,False,True,Hexagonal,P6_3/mmc,194,1.8017993871104938,44.79899633535127,2,hull_window_min_nsites_lt,0.02,False,9,3,1,False,
Na,dopant,mp-127,Na,-3.5484083,0.01577226999999981,False,False,Cubic,Im-3m,229,1.0246367263907339,37.25750706727941,1,hull_window_min_nsites_lt,0.02,False,17,7,4,False,
Pb,dopant,mp-20483,Pb,-56.28513411,0.0,False,True,Cubic,Fm-3m,225,11.079630631735755,31.053715283135052,1,hull_window_min_nsites_lt,0.02,False,7,4,1,False,
Pd,dopant,mp-2,Pd,-22.96045361,0.0,False,True,Cubic,Fm-3m,225,11.759025238417777,15.02799459406926,1,hull_window_min_nsites_lt,0.02,False,4,1,1,False,
Pt,dopant,mp-126,Pt,-51.4877169,0.0,False,True,Cubic,Fm-3m,225,21.134925773252462,15.327454053856243,1,hull_window_min_nsites_lt,0.02,False,3,1,1,False,
Rh,dopant,mp-74,Rh,-24.13622863,0.0,False,True,Cubic,Fm-3m,225,12.397977691611958,13.782780337825384,1,hull_window_min_nsites_lt,0.02,False,5,1,1,False,
Sb,dopant,mp-104,Sb,-25.70631573,0.0,False,True,Trigonal,R-3m,166,6.4307883725126525,62.881010949113254,2,hull_window_min_nsites_lt,0.02,False,14,9,1,False,
Sn,dopant,mp-117,Sn,-24.74618378,0.0,False,True,Cubic,Fd-3m,227,5.560776479834602,70.8975063415447,2,hull_window_min_nsites_lt,0.02,False,9,5,1,False,
Tl,dopant,mp-39,Tl,-53.16951429,0.009790289999997981,False,False,Cubic,Im-3m,229,11.33786227920608,29.93390167626574,1,hull_window_min_nsites_lt,0.02,False,6,3,2,False,
Zn,dopant,mp-79,Zn,-8.910602605,0.0,False,True,Hexagonal,P6_3/mmc,194,7.530857330656824,28.845108913918352,2,hull_window_min_nsites_lt,0.02,False,8,1,1,False,
