element,delta_r_vs_Li_pm,valency,delta_valency_vs_Li,chi,delta_chi_vs_Li
Ag,-8,1,0,1.93,0.95
Au,-8,1,0,2.54,1.56
Bi,3,5,4,2.02,1.04
Cd,-1,2,1,1.69,0.71
Cu,-24,1,0,1.9,0.9199999999999999
Ga,-17,3,2,1.81,0.8300000000000001
Ge,-30,4,3,2.01,1.0299999999999998
Hg,-1,2,1,2.0,1.02
In,15,3,2,1.78,0.8
Mg,8,2,1,1.31,0.33000000000000007
Na,34,1,0,0.93,-0.04999999999999993
Pb,23,4,3,2.33,1.35
Pd,-15,2,1,2.2,1.2200000000000002
Pt,-13,2,1,2.28,1.2999999999999998
Rh,-18,3,2,2.28,1.2999999999999998
Sb,-12,5,4,2.05,1.0699999999999998
Sn,-12,4,3,1.96,0.98
Tl,18,3,2,1.62,0.6400000000000001
Zn,-18,2,1,1.65,0.6699999999999999
