element,Z,r_atomic_pm,crystal,valency,chi
H,1,25,molecular,1,2.2
Li,3,152,bcc,1,0.98
Be,4,112,hcp,2,1.57
B,5,85,beta_rhombohedral,3,2.04
Na,11,186,bcc,1,0.93
Mg,12,160,hcp,2,1.31
Al,13,143,fcc,3,1.61
Si,14,111,diamond,4,1.9
K,19,227,bcc,1,0.82
Ca,20,197,fcc,2,1.0
Sc,21,162,hcp,3,1.36
Ti,22,147,hcp,4,1.54
V,23,134,bcc,5,1.63
Cr,24,128,bcc,3,1.66
Mn,25,127,complex,2,1.55
Fe,26,126,bcc,2,1.83
Co,27,125,hcp,2,1.88
Ni,28,124,fcc,2,1.91
Cu,29,128,fcc,1,1.9
Zn,30,134,hcp,2,1.65
Ga,31,135,ortho,3,1.81
Ge,32,122,diamond,4,2.01
As,33,119,rhombo,5,2.18
Rb,37,248,bcc,1,0.82
Sr,38,215,fcc,2,0.95
Y,39,180,hcp,3,1.22
Zr,40,160,hcp,4,1.33
Nb,41,146,bcc,5,1.6
Mo,42,139,bcc,6,2.16
Tc,43,136,hcp,7,1.9
Ru,44,134,hcp,3,2.2
Rh,45,134,fcc,3,2.28
Pd,46,137,fcc,2,2.2
Ag,47,144,fcc,1,1.93
Cd,48,151,hcp,2,1.69
In,49,167,tetra,3,1.78
Sn,50,140,tetra,4,1.96
Sb,51,140,rhombo,5,2.05
Cs,55,265,bcc,1,0.79
Ba,56,222,bcc,2,0.89
La,57,187,dhcp,3,1.1
Ce,58,182,fcc,3,1.12
Pr,59,182,hcp,3,1.13
Nd,60,181,hcp,3,1.14
Sm,62,180,rhombo,3,1.17
Eu,63,208,bcc,2,0.63
Gd,64,180,hcp,3,1.2
Tb,65,177,hcp,3,1.22
Dy,66,178,hcp,3,1.22
Ho,67,176,hcp,3,1.23
Er,68,176,hcp,3,1.24
Tm,69,176,hcp,3,1.25
Yb,70,194,fcc,2,1.1
Lu,71,174,hcp,3,1.27
Hf,72,159,hcp,4,1.3
Ta,73,146,bcc,5,1.5
W,74,139,bcc,6,2.36
Re,75,137,hcp,7,1.9
Os,76,135,hcp,4,2.2
Ir,77,136,fcc,3,2.2
Pt,78,139,fcc,2,2.28
Au,79,144,fcc,1,2.54
Hg,80,151,rhombo,2,2.0
Bi,83,155,rhombo,5,2.02
