feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_volume,0.07220103318828094,0.05123296642008811,0.014538974130358387,True
MagpieData minimum CovalentRadius,0.05542591749747762,0.05035916534208458,0.017579274893437868,True
MagpieData mean Electronegativity,0.052988620432030675,0.04241717370684921,0.01536025079739949,True
MagpieData mean GSvolume_pa,0.052081153674162,0.03730143689072345,0.01088883724547702,True
packing fraction,0.05029123321267398,0.03532159610377013,0.010183337303525669,True
mp_n_candidates,0.048502744751235824,0.03366038671718054,0.010737406884010758,True
mp_n_experimental,0.04089269467804042,0.031105924676079654,0.012283113546984695,True
vpa,0.04072290262724383,0.028684548936185383,0.007277625307588941,True
MagpieData mean MendeleevNumber,0.043163755681152806,0.02867574924081604,0.009201561101524055,True
MagpieData mean Column,0.04490781595140275,0.028404033568475817,0.012160655019649745,True
endmember_density,0.048299978212708254,0.027820249727295084,0.01013893387528454,True
endmember_energy_per_atom,0.04738922955692728,0.027589081933392157,0.009185788001374217,True
delta_r_vs_Li_pm,0.024983447197557268,0.0217503624077234,0.0068281222089168845,True
MagpieData maximum NValence,0.026969501022781006,0.0196239051649317,0.005384889294228625,True
delta_valency_vs_Li,0.03039124960242264,0.019618734751225626,0.007457959947188829,True
MagpieData mean AtomicWeight,0.030587696794890283,0.019282093864624466,0.0034221478153172767,True
MagpieData mode NUnfilled,0.023512369551664067,0.017681525584138037,0.007170091169012064,True
MagpieData minimum NpValence,0.023193582571311402,0.01746658822765301,0.009309705021111718,True
endmember_fraction,0.022529901210893707,0.017200423769281898,0.0042669837156833765,True
MagpieData mode MeltingT,0.025469292954164655,0.015410910263642611,0.0033429848330388022,True
density,0.024114147741827022,0.012018831482381354,0.002824276036315243,True
MagpieData maximum SpaceGroupNumber,0.015999673770477764,0.011975683605872447,0.0029840466725551155,True
endmember_spacegroup_number,0.02510526159716607,0.011879466634233626,0.0027672878497531903,True
crystal_system_int,0.013585601359623264,0.010751985906120008,0.003734076008014896,True
n_symmetry_ops,0.015462516189201407,0.010240687352123875,0.003349893850774482,True
MagpieData mean Row,0.013119518021115302,0.008842317697815058,0.0020508124164219893,True
spacegroup_num,0.01337485358360366,0.007674377244515601,0.0020012637456592467,True
MagpieData mean NpUnfilled,0.009950345759179465,0.006243082889218848,0.00298543432327858,True
MagpieData minimum NdValence,0.013820971859751617,0.005958849725488486,0.00232371208446532,True
MagpieData mode NsValence,0.0054917939937920495,0.005395659644057868,0.0027820988443029884,True
mp_energy_above_hull,0.011933878069134811,0.005196949599835488,0.0018675106457351355,True
mp_is_stable,0.00639227767932347,0.005108111593626391,0.001940192732323115,True
MagpieData maximum NsUnfilled,0.0056342330796918805,0.005063970095955067,0.0023526429439924006,True
mp_n_near_hull,0.00854731110041535,0.004582924739663955,0.0015336070823314565,True
MagpieData mean NfValence,0.0037370700697405956,0.002839645823465203,0.0016443888094879262,True
endmember_is_stable,0.002529318327221249,0.0027568237997594334,0.0013793335792228344,True
endmember_energy_above_hull,0.002629842517820655,0.0018817005465346537,0.0004930883229578318,True
MagpieData mean NdUnfilled,0.0024811822659006467,0.0010384496523437481,0.0006038251575398275,True
MagpieData mean GSbandgap,0.0006600752291121327,0.00036563397933744304,0.00023427888996903045,True
mp_material_id_forced,0.0009260074168802608,0.00011440257184343605,0.00012285812796902657,False
endmember_e_hull_max_eV_per_atom,0.0,6.38378239159465e-17,5.4883097881056574e-17,True
MagpieData range NValence,0.0,5.2735593669694933e-17,5.544171886983689e-17,False
MagpieData range GSvolume_pa,0.0,5.2735593669694933e-17,5.544171886983689e-17,False
MagpieData avg_dev GSvolume_pa,0.0,4.9960036108132046e-17,5.523289809442722e-17,False
MagpieData range NUnfilled,0.0,4.9960036108132046e-17,5.523289809442722e-17,False
MagpieData minimum GSmagmom,0.0,4.718447854656915e-17,5.4883097881056574e-17,False
MagpieData range NdValence,0.0,4.718447854656915e-17,5.488309788105658e-17,False
endmember_n_candidates,0.0,4.718447854656915e-17,5.488309788105658e-17,False
MagpieData avg_dev SpaceGroupNumber,0.0,4.718447854656915e-17,5.488309788105658e-17,False
MagpieData range SpaceGroupNumber,0.0,4.718447854656915e-17,5.4883097881056574e-17,False
MagpieData avg_dev Column,0.0,4.4408920985006264e-17,5.438959822042074e-17,False
MagpieData mean GSmagmom,0.0,4.4408920985006264e-17,5.438959822042074e-17,False
MagpieData range CovalentRadius,0.0,4.4408920985006264e-17,5.438959822042074e-17,False
endmember_material_id_forced,0.0,4.4408920985006264e-17,5.438959822042074e-17,False
endmember_is_theoretical_fallback,0.0,4.163336342344337e-17,5.374844106186573e-17,False
MagpieData mean NfUnfilled,0.0,4.163336342344337e-17,5.374844106186573e-17,False
MagpieData avg_dev NValence,0.0,4.163336342344337e-17,5.374844106186573e-17,False
MagpieData avg_dev MendeleevNumber,0.0,4.163336342344337e-17,5.374844106186573e-17,False
MagpieData range NdUnfilled,0.0,3.8857805861880476e-17,5.29542632752814e-17,False
MagpieData range NfUnfilled,0.0,3.8857805861880476e-17,5.295426327528139e-17,False
MagpieData avg_dev GSmagmom,0.0,3.8857805861880476e-17,5.29542632752814e-17,False
MagpieData avg_dev NfUnfilled,0.0,3.8857805861880476e-17,5.295426327528139e-17,False
MagpieData avg_dev NdUnfilled,0.0,3.8857805861880476e-17,5.295426327528139e-17,False
MagpieData maximum NfUnfilled,0.0,3.8857805861880476e-17,5.29542632752814e-17,False
is_centrosymmetric,0.0,3.8857805861880476e-17,5.29542632752814e-17,False
mp_theoretical,0.0,3.608224830031759e-17,5.2000054249199393e-17,False
endmember_theoretical,0.0,3.608224830031759e-17,5.200005424919939e-17,False
endmember_n_near_hull,0.0,3.608224830031759e-17,5.2000054249199393e-17,False
MagpieData avg_dev Number,0.0,3.608224830031759e-17,5.2000054249199393e-17,False
MagpieData maximum GSmagmom,0.0,3.608224830031759e-17,5.2000054249199393e-17,False
mp_is_theoretical_fallback,0.0,3.608224830031759e-17,5.2000054249199393e-17,False
MagpieData range Column,0.0,3.608224830031759e-17,5.200005424919939e-17,False
MagpieData avg_dev NUnfilled,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData range Number,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData avg_dev CovalentRadius,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData range NsUnfilled,0.0,3.3306690738754695e-17,5.087681048627601e-17,False
MagpieData avg_dev AtomicWeight,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData mode GSmagmom,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range GSmagmom,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range Electronegativity,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData mode NfUnfilled,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range NpUnfilled,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range AtomicWeight,0.0,3.053113317719181e-17,4.957304316902598e-17,False
endmember_n_experimental,0.0,3.053113317719181e-17,5.54417188698369e-17,False
MagpieData avg_dev Row,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData avg_dev NsValence,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range Row,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData minimum NfUnfilled,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range NfValence,0.0,3.053113317719181e-17,4.957304316902598e-17,False
MagpieData range GSbandgap,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData avg_dev NdValence,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData avg_dev NfValence,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData avg_dev Electronegativity,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData range NsValence,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData range MeltingT,0.0,2.7755575615628914e-17,4.8074067159589095e-17,False
MagpieData range NpValence,0.0,2.4980018054066023e-17,4.636095143475978e-17,False
MagpieData avg_dev GSbandgap,0.0,2.4980018054066023e-17,4.636095143475978e-17,False
MagpieData avg_dev NsUnfilled,0.0,2.4980018054066023e-17,4.636095143475979e-17,False
MagpieData range MendeleevNumber,0.0,2.2204460492503132e-17,4.4408920985006264e-17,False
MagpieData avg_dev NpValence,0.0,2.2204460492503132e-17,4.4408920985006264e-17,False
MagpieData avg_dev NpUnfilled,0.0,1.9428902930940238e-17,4.2184822728249147e-17,False
