feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_MagpieData mean MendeleevNumber,0.04066414316779416,0.024735284705660495,0.007887054973748392,True
endmember_MagpieData mean CovalentRadius,0.031000041447760644,0.022393604338845605,0.006753196211548608,True
endmember_MagpieData avg_dev CovalentRadius,0.036407902432245405,0.01637736620934073,0.005472407518878019,True
endmember_volume,0.027565702004325086,0.01609016043293291,0.0064671340058233134,True
endmember_MagpieData mean Electronegativity,0.025402820205669287,0.016053966142587948,0.0059423553910889675,True
endmember_MagpieData mean NsValence,0.02737431535030494,0.01569075436502603,0.00545415084796403,True
endmember_MagpieData mean NsUnfilled,0.023868197755486733,0.015495885485151725,0.004903676123920862,True
mp_n_experimental,0.021185979661221228,0.01526470123539259,0.005752574348759593,True
mp_n_candidates,0.02366352327899489,0.015245098198972833,0.00655084192604344,True
endmember_MagpieData avg_dev NdValence,0.023902860582957684,0.013541231496147069,0.004277793682964717,True
endmember_packing fraction,0.028285609518248347,0.013526919180266725,0.003505738278278573,True
packing fraction,0.021566286836006518,0.012576465251802924,0.004442330348290049,True
delta_chi_vs_Li,0.01741631082976955,0.01169559477954935,0.003933785700143243,True
endmember_MagpieData mean NUnfilled,0.02035003179162615,0.0115699469193371,0.003918280390010398,True
endmember_MagpieData mean SpaceGroupNumber,0.015091204214046913,0.010567288103686711,0.003607566298661412,True
endmember_density,0.023649720641764294,0.010420892504970474,0.004788037915673324,True
endmember_MagpieData mean NpValence,0.01428403682338909,0.010065477087838105,0.004310010057285609,True
endmember_MagpieData mean Row,0.01702240249490473,0.009505367992751947,0.004050920063125831,True
MagpieData minimum GSvolume_pa,0.013956448024073982,0.009408344976982739,0.002393864351321722,True
endmember_MagpieData mean Number,0.015867637848298515,0.009217816611863836,0.004529028075072357,True
endmember_MagpieData avg_dev MendeleevNumber,0.023863171462415473,0.009076106894548306,0.0035045918752540112,True
endmember_MagpieData range CovalentRadius,0.01479679363221717,0.009045735373483044,0.003356443945916237,True
vpa,0.014953918216304972,0.009017188904708881,0.002845379214329633,True
endmember_MagpieData range MendeleevNumber,0.015231888937738617,0.008839035398781786,0.002707610113622121,True
endmember_vpa,0.019341057040063177,0.008675313028149279,0.0018701413189184334,True
endmember_MagpieData mode SpaceGroupNumber,0.013647519805688452,0.00820744580652854,0.002852775224925963,True
MagpieData mean NpValence,0.0118660712277477,0.008150798643290389,0.0033353913944368123,True
delta_valency_vs_Li,0.012492279506154457,0.00773668928884535,0.0029971923755407626,True
MagpieData maximum MendeleevNumber,0.013476773187790557,0.007724353084414354,0.0026148539441511057,True
endmember_MagpieData mean Column,0.015525376423652263,0.007211877076434911,0.0032414150629809266,True
endmember_MagpieData avg_dev SpaceGroupNumber,0.012307069809319093,0.006889062444551947,0.0013671442744218828,True
endmember_MagpieData range Electronegativity,0.012298768827114566,0.006838158124369257,0.0028585170722662655,True
MagpieData minimum NUnfilled,0.010114434107695299,0.006837283205694031,0.0030031270198763436,True
endmember_MagpieData maximum CovalentRadius,0.009638865992978045,0.006693468647683692,0.002698307822979355,True
endmember_MagpieData avg_dev Row,0.011301505379385464,0.006689922502936952,0.0028700613130203854,True
MagpieData minimum CovalentRadius,0.009574513888878883,0.00668630297728022,0.0027278623575517215,True
endmember_MagpieData mean MeltingT,0.011944839417478707,0.006068093826987956,0.0016212700289495795,True
endmember_MagpieData mean GSvolume_pa,0.009062422788962007,0.0056339836060035455,0.001424316235516628,True
endmember_MagpieData mean AtomicWeight,0.011608750386312077,0.005336556506002968,0.0028148004026148626,True
endmember_MagpieData mean NdValence,0.009900272532533793,0.004790854141155221,0.0020477514842384267,True
endmember_MagpieData mode MendeleevNumber,0.008093743065571927,0.004666790740310909,0.0010919969627835439,True
delta_r_vs_Li_pm,0.007611015722379856,0.004538210251000765,0.0015149766832687713,True
MagpieData minimum Column,0.0071369527341563765,0.004516365398642738,0.001911893011412013,True
endmember_MagpieData range NValence,0.007660541354405286,0.004204980704795913,0.0017161400762303058,True
endmember_MagpieData range GSvolume_pa,0.007363811670093767,0.004058564941582488,0.0013965486089242125,True
endmember_MagpieData avg_dev AtomicWeight,0.008131388861902426,0.003852837076545129,0.0010351152893384263,True
endmember_MagpieData range MeltingT,0.007732562357738863,0.0038377647001748227,0.000903515912904361,True
endmember_energy_per_atom,0.009314750523119943,0.0038022340860738553,0.0008465518870377345,True
endmember_MagpieData range AtomicWeight,0.006269853110280199,0.0035468557928520993,0.0010886258884348823,True
endmember_MagpieData maximum NUnfilled,0.007102261446871283,0.0034463443532992606,0.0007152110599029381,True
endmember_MagpieData minimum NsValence,0.005673600598445672,0.0033268308684067994,0.000936726501799127,True
endmember_spacegroup_num,0.006243309793148077,0.0033045431296256896,0.0007314881869201087,True
endmember_MagpieData avg_dev GSvolume_pa,0.005949567417430887,0.003293349978237406,0.0010304381234307158,True
MagpieData minimum AtomicWeight,0.0050960629986952265,0.0032510309122592063,0.000904939878181917,True
endmember_MagpieData avg_dev Electronegativity,0.007067186723300026,0.003249699867044739,0.0009710351713754817,True
endmember_MagpieData mode NsValence,0.005479772572851077,0.0032123115946819493,0.0008672162730893268,True
endmember_MagpieData minimum NUnfilled,0.004898600788838233,0.003154799472836345,0.0017080387672945053,True
MagpieData maximum MeltingT,0.007078688472716222,0.003109301340881296,0.001169489986673287,True
MagpieData maximum SpaceGroupNumber,0.005113332788542442,0.00303678830712181,0.0010457965606055566,True
endmember_MagpieData mode GSvolume_pa,0.004248282635960675,0.002979979896112578,0.001168059720968774,True
crystal_system_int,0.0043945584367069525,0.002937786350184221,0.001336630667864018,True
endmember_crystal_system_int,0.007215023766872636,0.0025935268914557994,0.0009955012033813029,True
density,0.00739615114487801,0.0025537396243888373,0.00089736072976946,True
endmember_MagpieData range NUnfilled,0.005742475790411739,0.0025093049889295784,0.0007713302431046204,True
endmember_MagpieData avg_dev MeltingT,0.005942493619374483,0.002464723962634577,0.0010086398540781606,True
endmember_MagpieData minimum GSvolume_pa,0.005460843956578993,0.0023758600120844103,0.0007690436301386261,True
endmember_MagpieData minimum Column,0.003125496749645442,0.002327060303576567,0.000820312429193365,True
endmember_MagpieData mean NpUnfilled,0.003306154821889995,0.0022970286633539503,0.0008901153930640853,True
endmember_fraction,0.003795901589733105,0.0022361008358034703,0.0007666038718889312,True
endmember_MagpieData avg_dev NsUnfilled,0.00561894339697241,0.001974654045719054,0.0009308498100635381,True
endmember_MagpieData mean NValence,0.007969629053220144,0.0019502399081414879,0.0009338725700422678,True
n_symmetry_ops,0.004058794892612093,0.001856656557185088,0.0006706668135200913,True
MagpieData mean NValence,0.004651865111947962,0.0018560106740762277,0.0006294323864134949,True
endmember_spacegroup_number,0.006097527687693956,0.0018311719952441741,0.00078326363980148,True
endmember_MagpieData avg_dev NUnfilled,0.005784648338584739,0.0018002126263220093,0.0006251723286119318,True
endmember_MagpieData mode Number,0.0029664398796185217,0.00178936800820782,0.0005201034850902436,True
endmember_MagpieData minimum MeltingT,0.0031340772766249615,0.001622704965365454,0.00042217198567225865,True
endmember_MagpieData mode Electronegativity,0.0019052690677649293,0.0016127832506400847,0.0003897671382153217,True
