feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_MagpieData minimum NdUnfilled,0.05423830209113854,0.02461125348262366,0.004416988122433005,True
endmember_MagpieData maximum NdUnfilled,0.05301086333978504,0.023822404454068278,0.004541023659612154,True
endmember_MagpieData minimum NdValence,0.038782965802822505,0.014675321018950731,0.0030668794530412657,True
endmember_MagpieData maximum MendeleevNumber,0.029820455260707274,0.01269135646113784,0.002766159555996414,True
endmember_MagpieData mean MendeleevNumber,0.03722616198449697,0.012257818054761917,0.002107138398698305,True
endmember_MagpieData mode MeltingT,0.04400172186022556,0.0117396425480326,0.0025741300926133337,True
endmember_MagpieData mode Column,0.028412355995358074,0.011164432158330944,0.001910593933872792,True
endmember_MagpieData minimum Number,0.030465516460420197,0.010989556318719026,0.002611985139871543,True
endmember_MagpieData minimum NUnfilled,0.033805163423924756,0.010540472193317732,0.001970223094864131,True
endmember_MagpieData mean MeltingT,0.038190834896569416,0.010470076862178712,0.0021431118522727962,True
endmember_MagpieData mode MendeleevNumber,0.023590777963420462,0.009331532805229142,0.0013979846399648195,True
endmember_MagpieData maximum MeltingT,0.028670289539645132,0.007871071671338867,0.0020362259645641326,True
endmember_MagpieData minimum Electronegativity,0.025131594275965143,0.007779534887671105,0.0014092474921926284,True
endmember_MagpieData maximum Column,0.019053038523625127,0.007690580280118373,0.0016485863532072322,True
endmember_MagpieData mean SpaceGroupNumber,0.029119662335283226,0.007394666983318652,0.0016033670729452194,True
endmember_MagpieData minimum Row,0.020386515726800895,0.007372513422798483,0.0022216799616289295,True
endmember_MagpieData mode NValence,0.025271905002293312,0.006705109795514167,0.0015525481205636183,True
endmember_MagpieData minimum SpaceGroupNumber,0.0246298479574989,0.006445854957412308,0.0017389271977355475,True
endmember_MagpieData maximum NdValence,0.015457266494138209,0.0059763178723704815,0.0009405016203569318,True
endmember_MagpieData mean Row,0.017128112270456488,0.005826938300412482,0.001596412312006792,True
endmember_MagpieData mode CovalentRadius,0.017395060632041038,0.005459553757951758,0.0012110542223114596,True
endmember_MagpieData maximum NUnfilled,0.014611182856143306,0.005214454004335631,0.001311117032963223,True
endmember_MagpieData mean GSvolume_pa,0.01547468226947852,0.005121204509783292,0.00122470337803955,True
endmember_MagpieData mean Column,0.010678554114008962,0.004793808476241698,0.0006970444894743604,True
endmember_MagpieData mean CovalentRadius,0.013852090888033285,0.004718647114098645,0.0010018095989441176,True
endmember_energy_per_atom,0.012221622757392471,0.004610883974707275,0.0012209734211865752,True
endmember_MagpieData minimum GSvolume_pa,0.009085883614900285,0.004404000171678124,0.0008452671400734339,True
endmember_MagpieData mean Electronegativity,0.010541872126826456,0.00429135333155452,0.0007287789636564959,True
endmember_MagpieData mean NdValence,0.010951608611271297,0.00414716509256457,0.0009268977711941737,True
endmember_MagpieData maximum GSvolume_pa,0.01503203887448461,0.004092844978394688,0.00088159856886023,True
endmember_MagpieData mean Number,0.013422157147639826,0.004082215814956494,0.0007436855901201937,True
endmember_density,0.01467242017748085,0.0034975635938275518,0.000840517983764447,True
endmember_vpa,0.01090848115902637,0.0031907567728913233,0.0006062155284142859,True
endmember_packing fraction,0.007361435198460953,0.0029342912485505524,0.0003860398371075438,True
endmember_MagpieData mode SpaceGroupNumber,0.007644652224342808,0.002899763836166713,0.0005334128055052672,True
endmember_spacegroup_num,0.013851284709152823,0.0027256654692016462,0.0010284703470081157,True
endmember_MagpieData maximum AtomicWeight,0.005888515939776457,0.002676229293096355,0.00031887432957270086,True
endmember_MagpieData maximum Electronegativity,0.0071987089508464336,0.0024695500754350562,0.0005715825724428635,True
endmember_volume,0.0075646180755735044,0.002389126475160605,0.00043591632979242596,True
endmember_MagpieData maximum NValence,0.00536921420074241,0.002301717150221161,0.000397424013526696,True
endmember_MagpieData maximum SpaceGroupNumber,0.008448970110094475,0.0022582541460530263,0.0007485352123296959,True
endmember_MagpieData avg_dev Row,0.007708847818739199,0.0022476493224039855,0.000711313231585642,True
endmember_spacegroup_number,0.010505685051987582,0.0021308745399372083,0.0007031384501384638,True
endmember_MagpieData maximum CovalentRadius,0.007814291583533054,0.002084862980456037,0.0004796491412852591,True
endmember_MagpieData mean NValence,0.005708162049707732,0.0018747684130306808,0.000379485994865183,True
endmember_MagpieData maximum Row,0.0029583959403394,0.00183411926758128,0.0003170267949931734,True
endmember_MagpieData avg_dev Number,0.006487952485117582,0.0016168076695737693,0.0005093834305071182,True
endmember_MagpieData avg_dev Column,0.003437025468986431,0.001493013147447389,0.0002646610744133933,True
endmember_MagpieData range GSbandgap,0.0026183814883967513,0.0014825542149135202,0.00029107117742686715,True
endmember_MagpieData mean NpValence,0.0020921051934097413,0.001476178139564463,0.0002476572011008591,True
endmember_MagpieData mean GSbandgap,0.0022950819130030113,0.0013561514993944313,0.00016384913619791548,True
endmember_MagpieData maximum GSbandgap,0.002053008586386477,0.001326742144914167,0.00019207287705294153,True
endmember_MagpieData range Number,0.0054204031420909396,0.0013214406561049773,0.0004754271714931296,True
endmember_MagpieData range MeltingT,0.004826769116602891,0.001307123329022153,0.0003106402874404074,True
