feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
MagpieData mean Electronegativity,0.0661320163353751,0.06231322043368785,0.008573543118121148,True
endmember_volume,0.05359397694953559,0.050749241811274874,0.02593604880321501,True
endmember_spacegroup_number,0.05993857043478175,0.048291818153160984,0.00997377828846269,True
MagpieData minimum Number,0.057300299335162376,0.038190713190647235,0.009486343948598578,True
MagpieData maximum CovalentRadius,0.04290144985812091,0.03727847547325998,0.007091883944250711,True
MagpieData maximum NUnfilled,0.044743402726384954,0.03479528022371595,0.011416299561355802,True
endmember_fraction,0.03645010447250679,0.03367442155068596,0.016860986327247657,True
packing fraction,0.048137130062861286,0.031024705076966072,0.012418185537259901,True
MagpieData mean NValence,0.043030678523644575,0.028658055610111116,0.00974794683255746,True
endmember_density,0.037437681598449804,0.02854859490753257,0.018005897736429577,True
MagpieData mode MeltingT,0.039188111364221026,0.028207516658496426,0.006792144867807721,True
delta_valency_vs_Li,0.03835790989254694,0.026730575413113144,0.010896227981568701,True
mp_n_experimental,0.042855036678808536,0.026487585567944304,0.016345658840038267,True
MagpieData mode GSvolume_pa,0.03941018968548292,0.024112668436315404,0.005075231287373898,True
delta_r_vs_Li_pm,0.047467665864480466,0.023444248865763555,0.004879866197206037,True
density,0.03022125809257166,0.022160933337434234,0.007884655463374442,True
MagpieData maximum Column,0.03406714877953684,0.022037206251119382,0.004915805609806086,True
MagpieData maximum NpValence,0.034396204978585185,0.021543276025164225,0.01095667331784462,True
n_symmetry_ops,0.019663972926186827,0.019312509415156956,0.004023421739456632,True
mp_n_candidates,0.026623755479538935,0.018152085605917908,0.00849047506678839,True
MagpieData maximum SpaceGroupNumber,0.02018539481142226,0.016105464682392198,0.002742770288768102,True
endmember_energy_per_atom,0.03177922269089909,0.015402980286419465,0.010191803002723671,True
spacegroup_num,0.024322124971879782,0.014889774525813486,0.003366191868653544,True
crystal_system_int,0.014971219593970873,0.011749133952812026,0.0016162801425165288,True
MagpieData maximum NsValence,0.01093420477858538,0.009541419571238205,0.003691254857679815,True
MagpieData minimum NpUnfilled,0.010971235723026215,0.00658583502542462,0.0039005158772656705,True
MagpieData mode Row,0.018603507549816486,0.006574354522984889,0.005202703365336122,True
