feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_MagpieData mean CovalentRadius,0.04233722212960013,0.032610113453402145,0.010129329742646008,True
endmember_MagpieData avg_dev CovalentRadius,0.0362966250716144,0.023304427271473756,0.007460355330932026,True
endmember_MagpieData mean MendeleevNumber,0.03366609264728907,0.022954256102118174,0.00815869459913798,True
endmember_MagpieData mode SpaceGroupNumber,0.026496228999153517,0.019543163956304642,0.008661555667952903,True
endmember_MagpieData avg_dev Row,0.0186651634463872,0.018495390013730646,0.007237823465080755,True
endmember_MagpieData avg_dev NdValence,0.026133512116583674,0.016768553696220767,0.0067596134431934934,True
endmember_MagpieData range CovalentRadius,0.01911808309452231,0.016738279167876756,0.006083366079321346,True
endmember_MagpieData mean Electronegativity,0.02078797861276642,0.016382522989375037,0.006789827249169107,True
packing fraction,0.025978124639840443,0.01596583437198256,0.006135964081047725,True
endmember_MagpieData maximum CovalentRadius,0.021050863283684194,0.015521479304684966,0.0053972372688136025,True
endmember_MagpieData mean Number,0.017838839988920895,0.014145103274855972,0.006862483773475169,True
endmember_MagpieData avg_dev MendeleevNumber,0.02148113758465161,0.01307998640750119,0.004556514000965013,True
endmember_MagpieData mean Row,0.021336386824395214,0.012783078129203531,0.005919922270334904,True
endmember_MagpieData mean NdValence,0.02361964158080945,0.012660477338560086,0.007017923224059554,True
MagpieData minimum GSvolume_pa,0.015499431062568876,0.011829260486108889,0.0033566378557655313,True
endmember_MagpieData mean NsUnfilled,0.018032700013588306,0.011716007101842618,0.0050306183898067465,True
MagpieData mean Electronegativity,0.01638042822289936,0.011522222761801041,0.004189183331396183,True
mp_n_candidates,0.012746790021357677,0.011482125549633595,0.004938054590614896,True
endmember_packing fraction,0.02096836875648423,0.011421255383800465,0.0035780287445252848,True
MagpieData minimum CovalentRadius,0.013617328729744289,0.010707367934370876,0.0036653742070013673,True
endmember_density,0.017206910040904206,0.010629902135731496,0.005423773779296017,True
endmember_MagpieData mean Column,0.019357005747891735,0.010167953905239637,0.005618307204145139,True
endmember_volume,0.016280555695707886,0.009291810040283644,0.005274650624931716,True
endmember_MagpieData mean NUnfilled,0.01498756986281696,0.009114095408881496,0.002949317519729034,True
endmember_MagpieData mean MeltingT,0.013996832998938663,0.008719209520618077,0.0036775472712165936,True
endmember_vpa,0.01589380789958439,0.008593590665967413,0.0019939280185772117,True
delta_r_vs_Li_pm,0.009825832986310404,0.00792439657327415,0.0029341078968252916,True
vpa,0.01298071853898541,0.007599315613606333,0.0021406135359476313,True
endmember_MagpieData mean AtomicWeight,0.015063707868682804,0.007522014917049092,0.004453640097294065,True
endmember_energy_per_atom,0.012779770465568295,0.007349992178442205,0.0024029279567644207,True
delta_valency_vs_Li,0.013053459662490677,0.007299020511611118,0.002333715729352037,True
endmember_MagpieData avg_dev Number,0.009331476663154361,0.0072015161508628385,0.00223545198461113,True
endmember_MagpieData range Electronegativity,0.010710426370599808,0.007060312123478527,0.0025546390856475885,True
endmember_MagpieData avg_dev Electronegativity,0.009452219869716354,0.006873635915804116,0.0017879311280282494,True
endmember_MagpieData mean SpaceGroupNumber,0.010034696945592822,0.0068529574865901334,0.0024194690074498372,True
MagpieData minimum AtomicWeight,0.008791545202721825,0.0065120536808201705,0.001695050516545459,True
endmember_MagpieData mean NsValence,0.010252305832620994,0.006497121458418509,0.002496290862589088,True
endmember_MagpieData avg_dev NUnfilled,0.013156453631590908,0.006496386551408698,0.0015228069177354079,True
endmember_MagpieData mean GSvolume_pa,0.011121192407065824,0.00648431494517224,0.0013345679354709312,True
endmember_MagpieData range NValence,0.01182228119856902,0.006245008648755876,0.0024144830159268968,True
endmember_MagpieData avg_dev MeltingT,0.011154802346027351,0.006238007034314211,0.001301195126953263,True
endmember_MagpieData maximum NUnfilled,0.009529651410854961,0.006131750063467886,0.001434914796669627,True
MagpieData minimum NUnfilled,0.007480157456459772,0.005853407427931406,0.0023856136289084544,True
endmember_MagpieData range Number,0.006681793370377925,0.005725834531764734,0.0012811180179414404,True
endmember_MagpieData range GSvolume_pa,0.009070710074215798,0.005704806493988923,0.0014817730807516187,True
mp_n_experimental,0.006741583173594615,0.005461919216895136,0.0020452667035237935,True
endmember_MagpieData avg_dev GSvolume_pa,0.01216265118643742,0.005371596076338703,0.0012928707827971394,True
endmember_spacegroup_num,0.010010588867848615,0.005341799900567809,0.0015338203734636183,True
MagpieData minimum MendeleevNumber,0.007118336817540449,0.005171455045851698,0.0009893682979745613,True
MagpieData minimum MeltingT,0.009007514066497668,0.004759972763906098,0.0010452080691132743,True
endmember_fraction,0.008641450003613074,0.0046257503675748764,0.0013538512034331196,True
endmember_MagpieData mean NValence,0.007792954473966927,0.004556652132365555,0.0013366663327294723,True
endmember_MagpieData avg_dev SpaceGroupNumber,0.006317444645404484,0.004550268785511169,0.0016614802651848794,True
MagpieData mean NValence,0.00960958444400002,0.0040616451217725304,0.0019661472718320175,True
endmember_MagpieData minimum GSvolume_pa,0.00446489930827719,0.003885711254073074,0.0015687009077061658,True
endmember_MagpieData range MeltingT,0.007617426441291023,0.0038321152677787047,0.0010622823322990577,True
endmember_MagpieData range MendeleevNumber,0.006647165147763653,0.0037689034058852626,0.0007501275486991349,True
endmember_MagpieData avg_dev NsValence,0.009645211628465253,0.0034905546528184476,0.002217707754542836,True
