feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
endmember_MagpieData maximum NdUnfilled,0.0421844814874294,0.024565498069585582,0.004896426039711614,True
endmember_MagpieData minimum NdUnfilled,0.04858627625385661,0.023749272215129465,0.004615529449902106,True
endmember_MagpieData minimum NdValence,0.04366450816068328,0.016438012851269064,0.003322793740223441,True
endmember_MagpieData mean MeltingT,0.045168833788562984,0.013739709787612676,0.0026652581561901765,True
endmember_MagpieData maximum MendeleevNumber,0.02641790648650991,0.013130938858910113,0.0027775847438231862,True
endmember_MagpieData mode Column,0.03005775676603959,0.012626116719993733,0.002027935361869728,True
endmember_MagpieData minimum MendeleevNumber,0.03029242948252246,0.012311155934553574,0.001777029807366781,True
endmember_MagpieData mean MendeleevNumber,0.030089858739298526,0.01127841917045527,0.0015285648634918753,True
endmember_MagpieData mean Electronegativity,0.020948205283203323,0.00995459231716882,0.0018840290092994902,True
endmember_MagpieData minimum NUnfilled,0.02705689370619957,0.009932112857069067,0.0021761889400441236,True
endmember_MagpieData mode MeltingT,0.03566648149110315,0.009745257070658592,0.002107079467845611,True
endmember_MagpieData mode NValence,0.02916607830493167,0.009575594479589953,0.0024364246325497218,True
endmember_MagpieData minimum Number,0.027295665022378266,0.008796280321884897,0.001955011703960385,True
endmember_MagpieData maximum Column,0.019814783394601847,0.008693996638167339,0.0017351373025981352,True
endmember_MagpieData mode Row,0.020613356449994236,0.008496668972201197,0.0024970130760293445,True
endmember_MagpieData minimum Electronegativity,0.02115792621958917,0.008343579216047534,0.0015366338288497166,True
endmember_MagpieData maximum MeltingT,0.02760480606053628,0.008128577164910042,0.0019424176571461666,True
endmember_MagpieData mean SpaceGroupNumber,0.024657738931479028,0.008022115707899829,0.001915404175468759,True
endmember_MagpieData mode GSvolume_pa,0.017854443456857362,0.007626624294921747,0.0014551874488400115,True
endmember_MagpieData maximum NUnfilled,0.01916934009659633,0.007211154992243668,0.001924869321792296,True
endmember_MagpieData mean GSvolume_pa,0.01861681214579691,0.006993707766499296,0.0015150870064234326,True
endmember_MagpieData minimum SpaceGroupNumber,0.02012479365972941,0.00689730225918978,0.0015073509947142777,True
endmember_MagpieData mode CovalentRadius,0.020537044321914503,0.00666640572006684,0.00107909531211052,True
endmember_MagpieData maximum NdValence,0.01623179100507061,0.006651464010685862,0.0010007994436433032,True
endmember_MagpieData maximum GSvolume_pa,0.017083133544279,0.006593720640470266,0.0013594333437630286,True
endmember_MagpieData mean Row,0.015524522634493826,0.005671361454366017,0.00144898118863052,True
endmember_vpa,0.012394695807937723,0.005432893322565422,0.001050705342268526,True
endmember_MagpieData mean Column,0.009253469706716479,0.005207835678152107,0.0007077352225538313,True
endmember_volume,0.014991950259961882,0.004574728746849924,0.0011127560887431577,True
endmember_MagpieData mean NdValence,0.012519343816592336,0.004536556654597812,0.00119471537283981,True
endmember_MagpieData mean Number,0.012103508837709505,0.004377904627239307,0.0006148454577746913,True
endmember_MagpieData mean CovalentRadius,0.011258341226741686,0.004167888960216332,0.0006655002847745348,True
endmember_spacegroup_num,0.014047945305206058,0.004167847197628338,0.0011304664362212355,True
endmember_density,0.014361779551489403,0.00411595150278603,0.0008770952066619862,True
endmember_energy_per_atom,0.010512647528803326,0.004072252448716482,0.0010971561211210261,True
endmember_MagpieData maximum Electronegativity,0.009305511108903377,0.0039080657161337014,0.0009612551372574883,True
endmember_MagpieData mode SpaceGroupNumber,0.010621073763916805,0.003576741086076676,0.0010070944938245078,True
endmember_MagpieData maximum CovalentRadius,0.012329520016803435,0.003443053064818702,0.0007732245502883008,True
endmember_spacegroup_number,0.012341035594332996,0.003378163110012969,0.001206491690497621,True
endmember_MagpieData maximum AtomicWeight,0.007993174256543051,0.002863584218289211,0.0003977814251319506,True
endmember_MagpieData mean NValence,0.008104781899623527,0.002554382255155671,0.0004976206914592284,True
endmember_MagpieData maximum SpaceGroupNumber,0.007843127043510357,0.002402217182260308,0.0008851878568308024,True
endmember_MagpieData maximum NValence,0.004942895627143053,0.002114495344766318,0.0004402030018078564,True
endmember_packing fraction,0.005194035243739463,0.0019736396219386444,0.0004384568755236122,True
endmember_MagpieData avg_dev Row,0.004963196702639329,0.0018637726475841416,0.0005227937962567185,True
endmember_MagpieData avg_dev MendeleevNumber,0.005277587514917369,0.0018551773285727575,0.00039216698027707365,True
endmember_MagpieData range Number,0.004918674611416194,0.001824227458801314,0.0005336561597822378,True
endmember_n_symmetry_ops,0.004635434611177221,0.0017017384716027568,0.0004558320979915593,True
endmember_MagpieData maximum Row,0.0027286310087183234,0.0016992532979965085,0.0003273411643673801,True
endmember_MagpieData avg_dev Number,0.005491972339033694,0.00149890900826824,0.0004962826816177116,True
endmember_MagpieData maximum GSbandgap,0.002424939351665125,0.0014239324525598229,0.00023928297082316047,True
endmember_crystal_system_int,0.0025920045092282266,0.0014217738746470615,0.000573453406907121,True
endmember_MagpieData mean NpUnfilled,0.0018833282178680219,0.001274202538113689,0.00016636247391068856,True
endmember_MagpieData range CovalentRadius,0.002985005063830253,0.0010382460185907744,0.00022044646430756517,True
endmember_MagpieData mean NpValence,0.0012669594353234277,0.0010263540455938414,0.00017044568912285595,True
endmember_MagpieData range NValence,0.0027704511500047783,0.0009316391167372206,0.0003319500115799461,True
endmember_MagpieData avg_dev GSvolume_pa,0.003588166292668816,0.000919403289258866,0.00032641889341401505,True
endmember_MagpieData minimum NfValence,0.005318745094539473,0.0009167005817378143,0.0004482285739293294,True
endmember_MagpieData mean NsUnfilled,0.002959646526586305,0.0009135631878890605,0.0002311347281639577,True
endmember_MagpieData mode NpUnfilled,0.0008157880912223607,0.0009111604807152951,0.00016918503954654074,True
endmember_MagpieData mean NfValence,0.004155191513727828,0.0009036914294451665,0.00030083851825056187,True
endmember_MagpieData range Electronegativity,0.0028246288806787717,0.0008942530673329285,0.00021439655390909415,True
endmember_MagpieData mean GSbandgap,0.0010234646380465375,0.0008723099830360487,0.00011924347809088854,True
endmember_MagpieData minimum NsValence,0.002278060964109532,0.0008202691899711096,0.00020762607446198587,True
mp_is_stable,0.002713020856182833,0.0007904244170723329,0.00029488177350812386,True
endmember_MagpieData range Row,0.002305166852163247,0.0007355537747809921,0.00026488762823062426,True
endmember_MagpieData avg_dev Electronegativity,0.0024156569824577727,0.0006826790003924138,0.00018443559923425135,True
endmember_MagpieData avg_dev NdValence,0.0018731100454954404,0.0006779261592059216,0.0001976321434486615,True
endmember_MagpieData range GSvolume_pa,0.0021222253793204905,0.0006668420563200938,0.00020882402298795223,True
endmember_MagpieData range GSbandgap,0.0012443082192222013,0.000665159883019481,0.00014520083427116225,True
endmember_MagpieData avg_dev CovalentRadius,0.001997845418964758,0.0005872364540855185,9.51298243518845e-05,True
