feature,importance_mdi,importance_perm_mean,importance_perm_std,significant
MagpieData mean Electronegativity,0.07500141683152345,0.06886933294109555,0.01255264890354441,True
MagpieData maximum CovalentRadius,0.05137165214853103,0.04963465855785877,0.014933170986182232,True
endmember_spacegroup_number,0.07001402386116151,0.03856774632569851,0.011091589078374537,True
endmember_volume,0.04913040003160196,0.03521148714326966,0.021743430434227308,True
MagpieData minimum NUnfilled,0.046515974445093144,0.03266595998546649,0.010991756454146765,True
MagpieData mode AtomicWeight,0.05177626914913813,0.03252765898019779,0.008463236141105708,True
endmember_fraction,0.03370256412870467,0.032171432327031596,0.016890598627676383,True
MagpieData mode NValence,0.05893740469423779,0.03186581677706363,0.01562177883260872,True
endmember_density,0.04894377187966792,0.030920718660332698,0.01932037432016288,True
packing fraction,0.046196535485379144,0.030322587709974577,0.008616838614290556,True
MagpieData maximum MendeleevNumber,0.032344441463789626,0.027482544703616593,0.005495444866611431,True
spacegroup_num,0.023393453783365176,0.02582474832380803,0.008421888699548224,True
delta_r_vs_Li_pm,0.04100877292472418,0.025659174046636757,0.007113186420457601,True
MagpieData maximum SpaceGroupNumber,0.02292492415489318,0.022876794761961677,0.005260280147286692,True
density,0.032305267089739194,0.022812373321687496,0.008339460674966622,True
MagpieData mode GSvolume_pa,0.03552702509439427,0.02235137281722122,0.00472742896318707,True
n_symmetry_ops,0.0233636838539693,0.02214485495367472,0.004773115548608982,True
crystal_system_int,0.026521638585474114,0.021152029769367253,0.004647325442005436,True
mp_n_candidates,0.02613222921326007,0.020938081587036292,0.011558701562194433,True
MagpieData mode MeltingT,0.028359932605661418,0.020866312076224854,0.006788508210079374,True
delta_valency_vs_Li,0.02716053077384873,0.018896227673726146,0.004462668786310434,True
endmember_energy_per_atom,0.04261019341899409,0.017236852578111993,0.009593237442224855,True
mp_n_experimental,0.02340285867378367,0.016724685655501035,0.01113667640077273,True
MagpieData maximum NsValence,0.008322843240444662,0.013164489906739286,0.006170558866960616,True
MagpieData maximum Row,0.01688407235652683,0.012842799116045656,0.00898095611058319,True
MagpieData mode NfValence,0.014544492019344529,0.010238951230302109,0.008116393228330781,True
MagpieData minimum NsUnfilled,0.008358440831599137,0.007040523331922852,0.0035053334949265696,True
MagpieData mode NpValence,0.006527659701479542,0.004771804706072067,0.0042898160169314485,True
MagpieData minimum NpUnfilled,0.014684922852266483,0.0031737830840849602,0.0018152626934519337,True
MagpieData minimum NdValence,0.010330857088006925,0.001128299777478563,0.0010726423247391923,True
mp_n_near_hull,0.0037017476193962765,0.0004331095919656813,0.0006847925008027526,False
mp_hull_unstable,0.0,-2.6645352591003756e-17,6.865452576994139e-17,False
MagpieData avg_dev Electronegativity,0.0,-3.1086244689504386e-17,7.03569625571048e-17,False
MagpieData avg_dev NdUnfilled,0.0,-3.552713678800501e-17,7.831598520157533e-17,False
MagpieData range NsUnfilled,0.0,-3.552713678800501e-17,7.510230004687095e-17,False
MagpieData avg_dev NdValence,0.0,-3.552713678800501e-17,7.831598520157533e-17,False
MagpieData avg_dev GSbandgap,0.0,-3.7747582837255325e-17,7.884928667574044e-17,False
MagpieData avg_dev AtomicWeight,0.0,-3.7747582837255325e-17,8.191610388096001e-17,False
