element,endmember_material_id,role,endmember_MagpieData minimum Number,endmember_MagpieData maximum Number,endmember_MagpieData range Number,endmember_MagpieData mean Number,endmember_MagpieData avg_dev Number,endmember_MagpieData mode Number,endmember_MagpieData minimum MendeleevNumber,endmember_MagpieData maximum MendeleevNumber,endmember_MagpieData range MendeleevNumber,endmember_MagpieData mean MendeleevNumber,endmember_MagpieData avg_dev MendeleevNumber,endmember_MagpieData mode MendeleevNumber,endmember_MagpieData minimum AtomicWeight,endmember_MagpieData maximum AtomicWeight,endmember_MagpieData range AtomicWeight,endmember_MagpieData mean AtomicWeight,endmember_MagpieData avg_dev AtomicWeight,endmember_MagpieData mode AtomicWeight,endmember_MagpieData minimum MeltingT,endmember_MagpieData maximum MeltingT,endmember_MagpieData range MeltingT,endmember_MagpieData mean MeltingT,endmember_MagpieData avg_dev MeltingT,endmember_MagpieData mode MeltingT,endmember_MagpieData minimum Column,endmember_MagpieData maximum Column,endmember_MagpieData range Column,endmember_MagpieData mean Column,endmember_MagpieData avg_dev Column,endmember_MagpieData mode Column,endmember_MagpieData minimum Row,endmember_MagpieData maximum Row,endmember_MagpieData range Row,endmember_MagpieData mean Row,endmember_MagpieData avg_dev Row,endmember_MagpieData mode Row,endmember_MagpieData minimum CovalentRadius,endmember_MagpieData maximum CovalentRadius,endmember_MagpieData range CovalentRadius,endmember_MagpieData mean CovalentRadius,endmember_MagpieData avg_dev CovalentRadius,endmember_MagpieData mode CovalentRadius,endmember_MagpieData minimum Electronegativity,endmember_MagpieData maximum Electronegativity,endmember_MagpieData range Electronegativity,endmember_MagpieData mean Electronegativity,endmember_MagpieData avg_dev Electronegativity,endmember_MagpieData mode Electronegativity,endmember_MagpieData minimum NsValence,endmember_MagpieData maximum NsValence,endmember_MagpieData range NsValence,endmember_MagpieData mean NsValence,endmember_MagpieData avg_dev NsValence,endmember_MagpieData mode NsValence,endmember_MagpieData minimum NpValence,endmember_MagpieData maximum NpValence,endmember_MagpieData range NpValence,endmember_MagpieData mean NpValence,endmember_MagpieData avg_dev NpValence,endmember_MagpieData mode NpValence,endmember_MagpieData minimum NdValence,endmember_MagpieData maximum NdValence,endmember_MagpieData range NdValence,endmember_MagpieData mean NdValence,endmember_MagpieData avg_dev NdValence,endmember_MagpieData mode NdValence,endmember_MagpieData minimum NfValence,endmember_MagpieData maximum NfValence,endmember_MagpieData range NfValence,endmember_MagpieData mean NfValence,endmember_MagpieData avg_dev NfValence,endmember_MagpieData mode NfValence,endmember_MagpieData minimum NValence,endmember_MagpieData maximum NValence,endmember_MagpieData range NValence,endmember_MagpieData mean NValence,endmember_MagpieData avg_dev NValence,endmember_MagpieData mode NValence,endmember_MagpieData minimum NsUnfilled,endmember_MagpieData maximum NsUnfilled,endmember_MagpieData range NsUnfilled,endmember_MagpieData mean NsUnfilled,endmember_MagpieData avg_dev NsUnfilled,endmember_MagpieData mode NsUnfilled,endmember_MagpieData minimum NpUnfilled,endmember_MagpieData maximum NpUnfilled,endmember_MagpieData range NpUnfilled,endmember_MagpieData mean NpUnfilled,endmember_MagpieData avg_dev NpUnfilled,endmember_MagpieData mode NpUnfilled,endmember_MagpieData minimum NdUnfilled,endmember_MagpieData maximum NdUnfilled,endmember_MagpieData range NdUnfilled,endmember_MagpieData mean NdUnfilled,endmember_MagpieData avg_dev NdUnfilled,endmember_MagpieData mode NdUnfilled,endmember_MagpieData minimum NfUnfilled,endmember_MagpieData maximum NfUnfilled,endmember_MagpieData range NfUnfilled,endmember_MagpieData mean NfUnfilled,endmember_MagpieData avg_dev NfUnfilled,endmember_MagpieData mode NfUnfilled,endmember_MagpieData minimum NUnfilled,endmember_MagpieData maximum NUnfilled,endmember_MagpieData range NUnfilled,endmember_MagpieData mean NUnfilled,endmember_MagpieData avg_dev NUnfilled,endmember_MagpieData mode NUnfilled,endmember_MagpieData minimum GSvolume_pa,endmember_MagpieData maximum GSvolume_pa,endmember_MagpieData range GSvolume_pa,endmember_MagpieData mean GSvolume_pa,endmember_MagpieData avg_dev GSvolume_pa,endmember_MagpieData mode GSvolume_pa,endmember_MagpieData minimum GSbandgap,endmember_MagpieData maximum GSbandgap,endmember_MagpieData range GSbandgap,endmember_MagpieData mean GSbandgap,endmember_MagpieData avg_dev GSbandgap,endmember_MagpieData mode GSbandgap,endmember_MagpieData minimum GSmagmom,endmember_MagpieData maximum GSmagmom,endmember_MagpieData range GSmagmom,endmember_MagpieData mean GSmagmom,endmember_MagpieData avg_dev GSmagmom,endmember_MagpieData mode GSmagmom,endmember_MagpieData minimum SpaceGroupNumber,endmember_MagpieData maximum SpaceGroupNumber,endmember_MagpieData range SpaceGroupNumber,endmember_MagpieData mean SpaceGroupNumber,endmember_MagpieData avg_dev SpaceGroupNumber,endmember_MagpieData mode SpaceGroupNumber,endmember_density,endmember_vpa,endmember_packing fraction,endmember_spacegroup_num,endmember_crystal_system,endmember_crystal_system_int,endmember_is_centrosymmetric,endmember_n_symmetry_ops
Ag,mp-2426,endmember,3.0,47.0,44.0,25.0,22.0,3.0,1.0,65.0,64.0,33.0,32.0,1.0,6.941,107.8682,100.9272,57.4046,50.4636,6.941,453.69,1234.93,781.24,844.3100000000001,390.62,453.69,1.0,11.0,10.0,6.0,5.0,1.0,2.0,5.0,3.0,3.5,1.5,2.0,128.0,145.0,17.0,136.5,8.5,128.0,0.98,1.93,0.95,1.455,0.475,0.98,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,10.0,6.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.33,16.5933333333,0.2633333333000003,16.461666666649997,0.13166666665000015,16.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.0,2.0,225.0,6.2606319363997605,15.22571235684895,0.9827893275354641,221,cubic,1,True,48
Al,mp-568404,endmember,3.0,13.0,10.0,6.076923076923077,4.260355029585799,3.0,1.0,73.0,72.0,23.153846153846153,30.674556213017752,1.0,6.941,26.9815386,20.0405386,13.10731956923077,8.537980942011835,6.941,453.69,933.47,479.78000000000003,601.3146153846154,204.4033136094675,453.69,1.0,13.0,12.0,4.6923076923076925,5.112426035502958,1.0,2.0,3.0,1.0,2.3076923076923075,0.4260355029585798,2.0,121.0,128.0,7.0,125.84615384615384,2.9822485207100615,128.0,0.98,1.61,0.6300000000000001,1.173846153846154,0.26840236686390545,0.98,1.0,2.0,1.0,1.3076923076923077,0.4260355029585799,1.0,0.0,1.0,1.0,0.3076923076923077,0.4260355029585799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.6153846153846154,0.8520710059171598,1.0,0.0,1.0,1.0,0.6923076923076923,0.4260355029585799,1.0,0.0,5.0,5.0,1.5384615384615385,2.1301775147928996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.230769230769231,1.7041420118343196,1.0,16.48,16.5933333333,0.11333333329999817,16.558461538438458,0.04828402365443825,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.76923076923077,1.7041420118343178,229.0,1.3190716790201644,16.50040447361817,0.6883531881041327,2,triclinic,7,True,2
Au,mp-567395,endmember,3.0,79.0,76.0,19.0,25.263157894736842,3.0,1.0,66.0,65.0,14.68421052631579,21.606648199445985,1.0,6.941,196.966569,190.025569,46.94638294736842,63.16639412742382,6.941,453.69,1337.33,883.6399999999999,639.7194736842106,293.7307479224377,453.69,1.0,11.0,10.0,3.1052631578947367,3.32409972299169,1.0,2.0,6.0,4.0,2.8421052631578947,1.3296398891966759,2.0,128.0,136.0,8.0,129.68421052631578,2.6592797783933464,128.0,0.98,2.54,1.56,1.308421052631579,0.5185595567867036,0.98,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.1052631578947367,3.32409972299169,0.0,0.0,14.0,14.0,2.9473684210526314,4.653739612188366,0.0,1.0,25.0,24.0,6.052631578947368,7.977839335180055,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.5933333333,16.7,0.10666666670000069,16.615789473657895,0.035457063722992566,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,228.1578947368421,1.3296398891966732,229.0,4.8347374806488865,16.1242059864897,0.7598080768048802,220,cubic,1,False,24
B,mp-1001835,endmember,3.0,5.0,2.0,4.0,1.0,3.0,1.0,72.0,71.0,36.5,35.5,1.0,6.941,10.811,3.87,8.876,1.935,6.941,453.69,2348.0,1894.31,1400.845,947.155,453.69,1.0,13.0,12.0,7.0,6.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,84.0,128.0,44.0,106.0,22.0,84.0,0.98,2.04,1.06,1.51,0.53,0.98,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,2.0,1.0,7.1725,16.5933333333,9.4208333333,11.882916666649999,4.71041666665,7.1725,0.0,1.524,1.524,0.762,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,197.5,31.5,166.0,1.3678437685165254,10.775313025491807,0.7119278709715762,194,hexagonal,2,True,24
Be,mp-87,endmember,4.0,4.0,0.0,4.0,0.0,4.0,67.0,67.0,0.0,67.0,0.0,67.0,9.012182,9.012182,0.0,9.012182,0.0,9.012182,1560.0,1560.0,0.0,1560.0,0.0,1560.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,96.0,96.0,0.0,96.0,0.0,96.0,1.57,1.57,0.0,1.57,0.0,1.57,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89,7.89,0.0,7.89,0.0,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.8826149238156762,7.949092572200806,0.6100128054582872,194,hexagonal,2,True,16
Bi,mp-23222,endmember,3.0,83.0,80.0,23.0,30.0,3.0,1.0,86.0,85.0,22.25,31.875,1.0,6.941,208.9804,202.0394,57.45085,75.764775,6.941,453.69,544.4,90.70999999999998,476.36749999999995,34.01624999999997,453.69,1.0,15.0,14.0,4.5,5.25,1.0,2.0,6.0,4.0,3.0,1.5,2.0,128.0,148.0,20.0,133.0,7.5,128.0,0.98,2.02,1.04,1.24,0.39,0.98,1.0,2.0,1.0,1.25,0.375,1.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,1.0,29.0,28.0,8.0,10.5,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.75,1.0,16.5933333333,32.95,16.356666666700004,20.682499999975,6.133750000012502,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,174.75,81.375,229.0,5.095583583301973,18.72197353023166,0.7406729344457023,225,cubic,1,True,48
Ca,mp-570466,endmember,3.0,20.0,17.0,8.666666666666666,7.5555555555555545,3.0,1.0,7.0,6.0,3.0,2.6666666666666665,1.0,6.941,40.078,33.137,17.986666666666668,14.72755555555556,6.941,453.69,1115.0,661.31,674.1266666666667,293.91555555555556,453.69,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,128.0,176.0,48.0,144.0,21.333333333333332,128.0,0.98,1.0,0.020000000000000018,0.9866666666666667,0.00888888888888891,0.98,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,16.5933333333,37.77,21.176666666700005,23.6522222222,9.411851851866668,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,229.0,4.0,227.66666666666666,1.777777777777781,229.0,1.0595078153990543,28.190035302752065,0.5908603875305045,194,hexagonal,2,True,24
Cd,mp-1437,endmember,3.0,48.0,45.0,25.5,22.5,3.0,1.0,70.0,69.0,35.5,34.5,1.0,6.941,112.411,105.47,59.676,52.735,6.941,453.69,594.22,140.53000000000003,523.955,70.26500000000001,453.69,1.0,12.0,11.0,6.5,5.5,1.0,2.0,5.0,3.0,3.5,1.5,2.0,128.0,144.0,16.0,136.0,8.0,128.0,0.98,1.69,0.71,1.335,0.355,0.98,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,6.5,5.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,16.5933333333,19.495,2.9016666667000024,18.04416666665,1.4508333333500012,16.5933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,211.5,17.5,194.0,5.35549291275739,18.50330699548047,0.7665813918788952,227,cubic,1,True,48
Ce,mp-28,endmember,58.0,58.0,0.0,58.0,0.0,58.0,15.0,15.0,0.0,15.0,0.0,15.0,140.116,140.116,0.0,140.116,0.0,140.116,1071.0,1071.0,0.0,1071.0,0.0,1071.0,3.0,3.0,0.0,3.0,0.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,204.0,204.0,0.0,204.0,0.0,204.0,1.12,1.12,0.0,1.12,0.0,1.12,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,13.0,13.0,0.0,13.0,0.0,13.0,22.0,22.0,0.0,22.0,0.0,22.0,37.24,37.24,0.0,37.24,0.0,37.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,9.123650342709299,25.501645004043755,1.0400054104813674,225,cubic,1,True,48
Co,mp-102,endmember,27.0,27.0,0.0,27.0,0.0,27.0,58.0,58.0,0.0,58.0,0.0,58.0,58.933195,58.933195,0.0,58.933195,0.0,58.933195,1768.0,1768.0,0.0,1768.0,0.0,1768.0,9.0,9.0,0.0,9.0,0.0,9.0,4.0,4.0,0.0,4.0,0.0,4.0,126.0,126.0,0.0,126.0,0.0,126.0,1.88,1.88,0.0,1.88,0.0,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,10.245,10.245,0.0,10.245,0.0,10.245,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.0,1.5484712,0.0,1.5484712,194.0,194.0,0.0,194.0,0.0,194.0,9.026471238323484,10.841542632772713,0.9506022389237768,225,cubic,1,True,48
