feature,feature_clean,feature_meaning,pearson_r_binding,p_value_binding,perm_importance_binding,pearson_r_solution,p_value_solution,perm_importance_solution,pearson_r_solution_minus_binding,p_value_solution_minus_binding,perm_importance_solution_minus_binding
packing fraction,packing fraction,Feature: packing fraction.,-0.4977456696849252,0.030112415381961466,0.034447415782459564,-0.5079974511323205,0.026378717181376285,0.010821819929559837,-0.3872565054437357,0.10140799142586006,0.014025394398279495
endmember_MagpieData mean NpValence,endmember mean NpValence,Endmember Magpie descriptor: endmember mean NpValence.,0.7183917565875485,0.000530929606815048,0.02439801339108178,0.5674142670515285,0.011282726775236673,0.006275564777789686,0.3556209497037016,0.13511554976395274,0.002173494533423026
endmember_MagpieData range Column,endmember range Column,Endmember Magpie descriptor: endmember range Column.,0.6372139249905708,0.0033417714703346444,0.020742987244595876,0.25641003024612025,0.289311474135062,,0.01265729277277218,0.9589844623009838,
MagpieData maximum MendeleevNumber,maximum MendeleevNumber,Magpie descriptor: maximum MendeleevNumber.,0.38915877698464646,0.09959667585257936,0.018409921856118852,0.06301895520879072,0.7977200545514711,0.01092136869010599,-0.10702980703874759,0.6627524221127034,
mp_n_experimental,mp_n_experimental,Feature: mp_n_experimental.,0.7070851003818287,0.0007107154038439951,0.017699330389575784,0.5126629512772456,0.024804652805395577,0.013903499616003965,0.29382977007158906,0.2220854160462749,0.005692087998125858
MagpieData maximum Column,maximum Column,Magpie descriptor: maximum Column.,0.6144751868597761,0.00512098547471515,0.01747682520563988,0.3359943711733028,0.15959943713938035,,0.12102812869672079,0.6216201345504253,
endmember_MagpieData mean Row,endmember mean Row,Endmember Magpie descriptor: endmember mean Row.,-0.5054242502533869,0.02727976891671667,0.015652941350519832,-0.490780169818934,0.032875716562713195,0.011948940624043568,-0.3625046870160518,0.12718995394867322,0.014164461107223636
delta_valency_vs_Li,delta_valency_vs_Li,Feature: delta_valency_vs_Li.,0.6736966343917484,0.0015650184159925057,0.01537721157603023,0.45919571618123217,0.04795605214086454,0.009158985268386011,0.24407187324482993,0.3139373546120832,0.00543936715134295
MagpieData minimum NpValence,minimum NpValence,Magpie descriptor: minimum NpValence.,0.7422713404058304,0.000273545712732833,0.01363783862338239,0.5874779568266055,0.00817195482841957,0.003931916384804437,0.36891682221588223,0.12010816905917078,
mp_n_candidates,mp_n_candidates,Feature: mp_n_candidates.,0.46859679917614744,0.04300461437138446,0.011532516885016681,0.49143313727997845,0.0326086068807159,0.013610075835396395,0.3807478891179334,0.10778558127669301,0.009652184773723222
endmember_MagpieData range GSvolume_pa,endmember range GSvolume_pa,Endmember Magpie descriptor: endmember range GSvolume_pa.,0.6188953398472334,0.0047250394501976226,0.010683007802294087,0.47710203074856083,0.03887190540304311,0.00518276900198889,0.29198722102962027,0.2251334959535702,0.003364631973997281
delta_chi_vs_Li,delta_chi_vs_Li,Feature: delta_chi_vs_Li.,0.34211516645643875,0.1516593388836929,0.010192102335629736,0.31305488488691174,0.1918822574971239,0.011614663763664221,0.22189203005061972,0.3612439179347466,
MagpieData mean GSvolume_pa,mean GSvolume_pa,Magpie descriptor: mean GSvolume_pa.,0.4290839737214135,0.0667708803349922,0.009393158883723973,0.37605260251517125,0.11256195303379991,,0.25796098258917866,0.28630208801462076,
endmember_MagpieData avg_dev GSvolume_pa,endmember avg_dev GSvolume_pa,Endmember Magpie descriptor: endmember avg_dev GSvolume_pa.,0.605795744585564,0.005977654203388542,0.008687120467217382,0.44400094422036507,0.05686339773609759,0.004633527368842502,0.2575967806688916,0.2870070338965778,0.004888398141301753
endmember_MagpieData mean MendeleevNumber,endmember mean MendeleevNumber,Endmember Magpie descriptor: endmember mean MendeleevNumber.,-0.47802553764098127,0.0384423008791765,0.008631591494335195,-0.5116367621934744,0.02514437179368538,0.022418778208590166,-0.4010596617416861,0.0887931989239068,0.021013123022686514
endmember_MagpieData range Electronegativity,endmember range Electronegativity,Endmember Magpie descriptor: endmember range Electronegativity.,0.44928798952780563,0.05363296078057179,0.008604035667685602,0.29189993399584657,0.22527856235762067,0.00741156377981696,0.1451881179826307,0.5531459404859651,0.00998588516764383
endmember_MagpieData mean AtomicWeight,endmember mean AtomicWeight,Endmember Magpie descriptor: endmember mean AtomicWeight.,-0.2719275202302283,0.2600715810983354,0.007513969078139676,-0.326202501273809,0.17288737468555174,0.005961237593481883,-0.27125873753744023,0.26129192738744006,0.008950542324871547
endmember_MagpieData mean NUnfilled,endmember mean NUnfilled,Endmember Magpie descriptor: endmember mean NUnfilled.,0.42489536769649483,0.06977167776462913,0.0069786906357498955,0.3736180018323193,0.11509737215416653,0.015290502053976928,0.2569590497949954,0.28824398099482207,0.011289562796948094
endmember_MagpieData mean NsValence,endmember mean NsValence,Endmember Magpie descriptor: endmember mean NsValence.,-0.3164646089408466,0.18682783269930187,0.006848366507869613,-0.4523151784178289,0.05184705729621007,0.012908285031922173,-0.4048277851127247,0.08555852875740926,0.010824643277768298
endmember_MagpieData avg_dev MeltingT,endmember avg_dev MeltingT,Endmember Magpie descriptor: endmember avg_dev MeltingT.,0.048465739155619525,0.8438038848993,0.006495842659108053,-0.09569695702496062,0.6967502179922391,0.003764181966350891,-0.14031609533274664,0.5666798863599953,0.004801830144876729
endmember_MagpieData mean CovalentRadius,endmember mean CovalentRadius,Endmember Magpie descriptor: endmember mean CovalentRadius.,-0.3047727693459721,0.20453704569391684,0.004866520351499046,-0.11506843978357957,0.6390096461137471,0.0208950709187992,0.003229654403109597,0.9895304929443969,0.030310058524832328
endmember_MagpieData avg_dev NdValence,endmember avg_dev NdValence,Endmember Magpie descriptor: endmember avg_dev NdValence.,0.3284720217808312,0.16974283974697577,0.0016837376369136735,-0.1527626327817796,0.5323957801757432,0.014371270525247093,-0.34291874419349894,0.15063759493432793,0.019390192009774775
endmember_packing fraction,endmember packing fraction,Feature: endmember_packing fraction.,-0.14888395921274647,0.5429764264080016,0.005982013519779961,-0.33557323938223077,0.16015603537493167,0.013914304383502399,-0.34102742764408644,0.15305001257473216,0.011755782704311851
endmember_MagpieData mode SpaceGroupNumber,endmember mode SpaceGroupNumber,Endmember Magpie descriptor: endmember mode SpaceGroupNumber.,0.48981409749917587,0.033274022471570575,,0.6297982186578982,0.003854671675263196,0.013656119498741575,0.5403879669706511,0.016910468253443302,0.02012441222115467
