feature,feature_clean,feature_meaning,pearson_r_binding,p_value_binding,perm_importance_binding,pearson_r_solution,p_value_solution,perm_importance_solution,pearson_r_solution_minus_binding,p_value_solution_minus_binding,perm_importance_solution_minus_binding
packing fraction,packing fraction,Feature: packing fraction.,-0.4977456696849253,0.03011241538196138,0.036235400466603875,-0.5079974511323204,0.026378717181376285,0.012576465251802924,-0.3872565054437358,0.10140799142585985,0.01596583437198256
endmember_MagpieData mean NpValence,endmember mean NpValence,Endmember Magpie descriptor: endmember mean NpValence.,0.7183917565875485,0.000530929606815048,0.021710182323456374,0.5674142670515285,0.011282726775236673,0.010065477087838105,0.3556209497037016,0.13511554976395274,0.0012262001128180045
endmember_MagpieData range Column,endmember range Column,Endmember Magpie descriptor: endmember range Column.,0.6372139249905707,0.0033417714703346444,0.019354388312557497,0.25641003024612025,0.289311474135062,,0.012657292772772215,0.9589844623009838,
MagpieData maximum Column,maximum Column,Magpie descriptor: maximum Column.,0.6144751868597762,0.00512098547471515,0.017997127756959656,0.3359943711733028,0.15959943713938035,,0.12102812869672076,0.6216201345504253,
delta_valency_vs_Li,delta_valency_vs_Li,Feature: delta_valency_vs_Li.,0.6736966343917484,0.0015650184159925057,0.017893315454688127,0.4591957161812322,0.04795605214086442,0.00773668928884535,0.24407187324482987,0.3139373546120832,0.007299020511611118
MagpieData minimum NpValence,minimum NpValence,Magpie descriptor: minimum NpValence.,0.7422713404058304,0.000273545712732833,0.017586400884469524,0.5874779568266054,0.008171954828419599,,0.36891682221588223,0.12010816905917078,0.0016055251193495047
MagpieData maximum MendeleevNumber,maximum MendeleevNumber,Magpie descriptor: maximum MendeleevNumber.,0.3891587769846465,0.09959667585257936,0.01726675980064318,0.06301895520879072,0.7977200545514711,0.007724353084414354,-0.10702980703874762,0.6627524221127034,
mp_n_experimental,mp_n_experimental,Feature: mp_n_experimental.,0.7070851003818287,0.0007107154038439951,0.017153329778229094,0.5126629512772456,0.024804652805395577,0.01526470123539259,0.2938297700715891,0.2220854160462749,0.005461919216895136
mp_n_candidates,mp_n_candidates,Feature: mp_n_candidates.,0.4685967991761474,0.04300461437138457,0.013757447292031757,0.49143313727997845,0.0326086068807159,0.015245098198972833,0.38074788911793345,0.10778558127669301,0.011482125549633595
endmember_MagpieData avg_dev GSvolume_pa,endmember avg_dev GSvolume_pa,Endmember Magpie descriptor: endmember avg_dev GSvolume_pa.,0.605795744585564,0.005977654203388542,0.011811390752774806,0.44400094422036507,0.05686339773609759,0.003293349978237406,0.2575967806688916,0.2870070338965778,0.005371596076338703
endmember_MagpieData range GSvolume_pa,endmember range GSvolume_pa,Endmember Magpie descriptor: endmember range GSvolume_pa.,0.6188953398472334,0.0047250394501976226,0.01092214365789471,0.47710203074856083,0.03887190540304311,0.004058564941582488,0.2919872210296203,0.22513349595356985,0.005704806493988923
endmember_MagpieData mean Row,endmember mean Row,Endmember Magpie descriptor: endmember mean Row.,-0.5054242502533869,0.02727976891671667,0.010654527079711276,-0.490780169818934,0.032875716562713195,0.009505367992751947,-0.3625046870160518,0.12718995394867322,0.012783078129203531
delta_chi_vs_Li,delta_chi_vs_Li,Feature: delta_chi_vs_Li.,0.3421151664564387,0.15165933888369318,0.009508628327598223,0.31305488488691174,0.1918822574971239,0.01169559477954935,0.22189203005061972,0.3612439179347466,
endmember_nsites,endmember nsites,Feature: endmember_nsites.,0.3608978521630245,0.12900985256068215,0.008279960730291991,0.39238940636521635,0.09657439162821359,,0.3102908952215095,0.19604588593862152,
MagpieData mean GSvolume_pa,mean GSvolume_pa,Magpie descriptor: mean GSvolume_pa.,0.4290839737214135,0.0667708803349922,0.008109133452235517,0.37605260251517125,0.11256195303379991,,0.25796098258917866,0.28630208801462076,
endmember_MagpieData mean NValence,endmember mean NValence,Endmember Magpie descriptor: endmember mean NValence.,-0.16559113636254935,0.4980925652107781,0.008052423120836339,-0.0957335651919563,0.6966394584043927,0.0019502399081414879,-0.03897824630715788,0.8741202144038377,0.004556652132365555
endmember_packing fraction,endmember packing fraction,Feature: endmember_packing fraction.,-0.14888395921274641,0.5429764264080016,0.00754275846501104,-0.3355732393822308,0.16015603537493167,0.013526919180266725,-0.34102742764408644,0.15305001257473216,0.011421255383800465
endmember_MagpieData mean NpUnfilled,endmember mean NpUnfilled,Endmember Magpie descriptor: endmember mean NpUnfilled.,0.4078810153896802,0.08300164461620066,0.007485435469177468,0.2768384172708499,0.25122045664019427,0.0022970286633539503,0.14632826000543522,0.5499996873816436,
endmember_MagpieData range Electronegativity,endmember range Electronegativity,Endmember Magpie descriptor: endmember range Electronegativity.,0.4492879895278057,0.05363296078057179,0.007476760784583291,0.2918999339958465,0.22527856235762067,0.006838158124369257,0.1451881179826307,0.5531459404859651,0.007060312123478527
endmember_density,endmember density,Feature: endmember_density.,-0.28046667569471573,0.24480528964372783,0.006501681347992958,-0.2586988076526945,0.28487722024428697,0.010420892504970474,-0.184428730624319,0.44973935319238795,0.010629902135731496
endmember_MagpieData mean MendeleevNumber,endmember mean MendeleevNumber,Endmember Magpie descriptor: endmember mean MendeleevNumber.,-0.47802553764098127,0.0384423008791765,0.006011726514955356,-0.5116367621934745,0.025144371793685307,0.024735284705660495,-0.40105966174168617,0.0887931989239068,0.022954256102118174
endmember_MagpieData mean CovalentRadius,endmember mean CovalentRadius,Endmember Magpie descriptor: endmember mean CovalentRadius.,-0.3047727693459721,0.20453704569391684,0.003985585497427427,-0.1150684397835796,0.6390096461137471,0.022393604338845605,0.003229654403109586,0.9895304929443969,0.032610113453402145
endmember_MagpieData avg_dev CovalentRadius,endmember avg_dev CovalentRadius,Endmember Magpie descriptor: endmember avg_dev CovalentRadius.,0.25425153311474713,0.29353178759618453,0.003963423517166817,-0.2723063612622154,0.2593818919728521,0.01637736620934073,-0.4543729108014272,0.05065912220707859,0.023304427271473756
endmember_volume,endmember volume,Feature: endmember_volume.,0.3391720957676158,0.1554423336518918,,0.3766139772387175,0.11198305002588889,0.01609016043293291,0.30123398240411553,0.2101083735364558,0.009291810040283644
endmember_MagpieData mean Electronegativity,endmember mean Electronegativity,Endmember Magpie descriptor: endmember mean Electronegativity.,-0.25417218341484615,0.2936876439877552,0.0018141659581023734,-0.22794303374236052,0.3479541793382933,0.016053966142587948,-0.1591639876112318,0.5151439164433139,0.016382522989375037
endmember_MagpieData mean NsValence,endmember mean NsValence,Endmember Magpie descriptor: endmember mean NsValence.,-0.3164646089408466,0.18682783269930187,0.006344595672542866,-0.4523151784178289,0.05184705729621007,0.01569075436502603,-0.4048277851127248,0.08555852875740907,0.006497121458418509
endmember_MagpieData mean NsUnfilled,endmember mean NsUnfilled,Endmember Magpie descriptor: endmember mean NsUnfilled.,0.2826870056753018,0.24093149572342,0.002084637722794355,0.4345166042451074,0.06302385117444578,0.015495885485151725,0.3989977728575558,0.09060059922206315,0.011716007101842618
endmember_MagpieData avg_dev NdValence,endmember avg_dev NdValence,Endmember Magpie descriptor: endmember avg_dev NdValence.,0.3284720217808312,0.16974283974697577,0.0019723292837717067,-0.1527626327817796,0.5323957801757432,0.013541231496147069,-0.3429187441934989,0.15063759493432793,0.016768553696220767
