feature,feature_clean,feature_meaning,pearson_r_binding,p_value_binding,perm_importance_binding,pearson_r_solution,p_value_solution,perm_importance_solution,pearson_r_solution_minus_binding,p_value_solution_minus_binding,perm_importance_solution_minus_binding
endmember_MagpieData mean GSvolume_pa,endmember mean GSvolume_pa,Endmember Magpie descriptor: endmember mean GSvolume_pa.,0.20649782041719014,0.1502106471367579,0.0467221567425755,-0.1648893070629353,0.2524963756453527,0.005121204509783292,-0.20204924539700625,0.15938934973727326,0.006993707766499296
endmember_MagpieData maximum GSvolume_pa,endmember maximum GSvolume_pa,Endmember Magpie descriptor: endmember maximum GSvolume_pa.,0.24514548672816616,0.08618253961178263,0.04185689239307002,-0.2721757616022563,0.055854715015134226,0.004092844978394688,-0.31545783652741,0.02564648697715034,0.006593720640470266
endmember_MagpieData mean CovalentRadius,endmember mean CovalentRadius,Endmember Magpie descriptor: endmember mean CovalentRadius.,0.22592479894892198,0.11465817156061893,0.03756912575249512,0.26082401754786416,0.06732983152535503,0.004718647114098645,0.2153611456868203,0.13309612645984994,0.004167888960216332
endmember_MagpieData mode CovalentRadius,endmember mode CovalentRadius,Endmember Magpie descriptor: endmember mode CovalentRadius.,0.2159141310915268,0.13207895728264257,0.030131476045313743,0.2728071930110304,0.05526591984700734,0.005459553757951758,0.22910230724054806,0.10951189888906529,0.00666640572006684
endmember_MagpieData maximum CovalentRadius,endmember maximum CovalentRadius,Endmember Magpie descriptor: endmember maximum CovalentRadius.,0.23949729199634479,0.09390569087756359,0.029896660328283274,0.19507147502032843,0.1746038026907714,0.002084862980456037,0.14776446631772705,0.30580679173730413,0.003443053064818702
endmember_MagpieData minimum MeltingT,endmember minimum MeltingT,Endmember Magpie descriptor: endmember minimum MeltingT.,0.11123078774160289,0.4418826343315743,0.027740937592932436,0.7896087552538005,9.44934984118578e-12,,0.7600222954860125,1.5439234642491562e-10,
endmember_MagpieData maximum MeltingT,endmember maximum MeltingT,Endmember Magpie descriptor: endmember maximum MeltingT.,0.04621530976466963,0.7499567149190574,0.027276869079665377,0.7012693597435468,1.4121166172613151e-08,0.007871071671338867,0.6849106609207037,4.1146279459853945e-08,0.008128577164910042
endmember_vpa,endmember vpa,Feature: endmember_vpa.,0.19773446892481314,0.16867813514750538,0.027186481609062084,-0.130310015206056,0.36706769535812966,0.0031907567728913233,-0.16619345294634535,0.24871131392490736,0.005432893322565422
endmember_MagpieData mean MeltingT,endmember mean MeltingT,Endmember Magpie descriptor: endmember mean MeltingT.,0.08652669417922418,0.550184728592573,0.025662527312920617,0.7889287137438706,1.0125763114101358e-11,0.010470076862178712,0.7640101534908623,1.0849949487733832e-10,0.013739709787612676
endmember_MagpieData mode GSvolume_pa,endmember mode GSvolume_pa,Endmember Magpie descriptor: endmember mode GSvolume_pa.,0.18545030066228937,0.1972651939985265,0.02490523883417717,-0.12389765704788556,0.3913123948460529,,-0.15753351507760352,0.27457154136513007,0.007626624294921747
endmember_packing fraction,endmember packing fraction,Feature: endmember_packing fraction.,-0.27002940829014144,0.05789406464703322,0.02152095578698141,0.06608869150121296,0.6483921980575812,0.0029342912485505524,0.11631042209744828,0.42118189297285585,0.0019736396219386444
endmember_MagpieData mean Electronegativity,endmember mean Electronegativity,Endmember Magpie descriptor: endmember mean Electronegativity.,-0.21812056651298645,0.1280784044799882,0.02023838296125923,0.49465399766467355,0.00026072981565732485,0.00429135333155452,0.5304139365277917,7.431179375248614e-05,0.00995459231716882
endmember_MagpieData maximum NUnfilled,endmember maximum NUnfilled,Endmember Magpie descriptor: endmember maximum NUnfilled.,0.12395312435396698,0.3910987250095351,0.019827185627740797,0.3676761216062703,0.008618683434327088,0.005214454004335631,0.340286355278632,0.015607218562744168,0.007211154992243668
endmember_MagpieData minimum Electronegativity,endmember minimum Electronegativity,Endmember Magpie descriptor: endmember minimum Electronegativity.,-0.1517290178614678,0.2928661918466107,0.018784802274349734,0.6047873874508514,3.291825888707918e-06,0.007779534887671105,0.6268225288551235,1.1155755122881069e-06,0.008343579216047534
endmember_MagpieData maximum MendeleevNumber,endmember maximum MendeleevNumber,Endmember Magpie descriptor: endmember maximum MendeleevNumber.,-0.08421084985911563,0.5609479481030055,0.018373287066849386,-0.23528870491946746,0.10000182929656597,0.01269135646113784,-0.21683873113707047,0.13039127825293234,0.013130938858910113
endmember_MagpieData maximum NdUnfilled,endmember maximum NdUnfilled,Endmember Magpie descriptor: endmember maximum NdUnfilled.,0.1884303005290511,0.19003416947740545,0.016689487865227413,0.651649935338331,2.967350400105465e-07,0.023822404454068278,0.6090025977998808,2.6932697517894124e-06,0.024565498069585582
endmember_MagpieData maximum Electronegativity,endmember maximum Electronegativity,Endmember Magpie descriptor: endmember maximum Electronegativity.,-0.17323179380392492,0.2289481167445602,0.014095041585315281,-0.030918826936588227,0.8312097670959199,0.0024695500754350562,0.0020986448581514047,0.9884595383932947,0.0039080657161337014
endmember_n_symmetry_ops,endmember n_symmetry_ops,Feature: endmember_n_symmetry_ops.,-0.1303220976085193,0.3670228865680707,0.013836140509589426,0.18981387701019697,0.18674196203650462,0.0008489334669022047,0.2123315258477132,0.13877330381033018,0.0017017384716027568
endmember_MagpieData mode MendeleevNumber,endmember mode MendeleevNumber,Endmember Magpie descriptor: endmember mode MendeleevNumber.,-0.0661816607360334,0.6479299737204498,0.012713556015913632,0.5179839117064151,0.00011680181405059712,0.009331532805229142,0.524826015116584,9.126227036357682e-05,
endmember_MagpieData mean NUnfilled,endmember mean NUnfilled,Endmember Magpie descriptor: endmember mean NUnfilled.,0.12060299694807917,0.4041267291692744,0.012711460613600876,0.43963261338272386,0.0014011476370031628,,0.4120909186961801,0.002943400509456707,
endmember_MagpieData minimum NdUnfilled,endmember minimum NdUnfilled,Endmember Magpie descriptor: endmember minimum NdUnfilled.,0.21009858325927272,0.14307181556105505,0.01229105483150331,0.6678442285891715,1.1697837861981259e-07,0.02461125348262366,0.6209326832006422,1.5019222105991418e-06,0.023749272215129465
endmember_MagpieData minimum NdValence,endmember minimum NdValence,Endmember Magpie descriptor: endmember minimum NdValence.,-0.12387865670448739,0.39138560329385325,0.007681346103377384,0.5396275085143153,5.2536038272889205e-05,0.014675321018950731,0.5571184997308478,2.6433363199063716e-05,0.016438012851269064
endmember_MagpieData mean MendeleevNumber,endmember mean MendeleevNumber,Endmember Magpie descriptor: endmember mean MendeleevNumber.,-0.12055515144512047,0.4043145933571267,0.01215304272910194,0.3904644165539994,0.005056746882885236,0.012257818054761917,0.4089534948935629,0.0031908233415425644,0.01127841917045527
endmember_MagpieData mode MeltingT,endmember mode MeltingT,Endmember Magpie descriptor: endmember mode MeltingT.,0.11270185740057209,0.43583039708346427,,0.7890660038115307,9.985615541659872e-12,0.0117396425480326,0.7592079360427072,1.6578600908466966e-10,0.009745257070658592
endmember_MagpieData mode Column,endmember mode Column,Endmember Magpie descriptor: endmember mode Column.,-0.12296185899747904,0.3949275893140616,,0.378803615940729,0.006673648451122587,0.011164432158330944,0.39787376581356654,0.004217671879266472,0.012626116719993733
endmember_MagpieData minimum Number,endmember minimum Number,Endmember Magpie descriptor: endmember minimum Number.,0.1632108179948159,0.25742484749212613,,0.615565389089726,1.9590714429732976e-06,0.010989556318719026,0.5780688990797467,1.1015301470171127e-05,0.008796280321884897
endmember_MagpieData minimum NUnfilled,endmember minimum NUnfilled,Endmember Magpie descriptor: endmember minimum NUnfilled.,0.12232979649469257,0.3973804122224297,,0.4573774053947066,0.0008397327995661284,0.010540472193317732,0.42931662280391825,0.0018636905750741208,0.009932112857069067
endmember_MagpieData maximum Column,endmember maximum Column,Endmember Magpie descriptor: endmember maximum Column.,-0.07914211580731073,0.5848439029860654,0.008317504763641395,-0.39954921821987605,0.004045839346874197,0.007690580280118373,-0.3802659185695439,0.006448897363493855,0.008693996638167339
endmember_MagpieData mean SpaceGroupNumber,endmember mean SpaceGroupNumber,Endmember Magpie descriptor: endmember mean SpaceGroupNumber.,-0.1704183379369905,0.2367140419273131,0.004585886930770183,0.0388376029800504,0.7888699617028897,0.007394666983318652,0.07056433942938635,0.6262918248583624,0.008022115707899829
endmember_MagpieData minimum Row,endmember minimum Row,Endmember Magpie descriptor: endmember minimum Row.,0.15050986723130422,0.29680710391155635,,0.6206048227544418,1.5267175858660582e-06,0.007372513422798483,0.5854494970327823,7.975124554659034e-06,
