Dopant,vac_binding_energy_eV
Be,0.01121
Na,0.07660
Mg,-0.01410
Al,-0.32942
Si,-0.01385
K,0.21708
Ca,0.02697
Sc,0.55921
Ti,-0.17625
V,-0.07237
Cr,-0.54286
Mn,-0.07523
Fe,-0.05811
Co,-0.08145
Ni,-0.02127
Cu,-0.00384
Zn,0.05020
Ga,0.12398
Ge,0.24817
Se,0.17227
Y,-0.07411
Zr,0.55286
Nb,0.76403
Mo,-0.11832
Ru,0.02412
Rh,-0.06361
Pd,-0.01341
Ag,0.00157
Cd,0.00463
In,-0.00201
Sn,0.18246
Sb,0.29490
La,0.07634
Ce,0.01411
Nd,0.02219
Sm,0.05787
Hf,0.43608
Ta,0.59175
W,-0.12378
Re,-0.00422
Os,0.02815
Ir,-0.11790
Pt,-0.03751
Au,-0.00564
Hg,0.05506
Tl,0.01028
Pb,0.06422
Bi,0.17554
B,0.16882
Pr,0.01309
