Dopant,solution_energy_eV
Be,1.05381
Na,0.23007
Mg,-0.15228
Al,0.12594
Si,-0.91006
K,0.92285
Ca,0.35166
Sc,0.8364
Ti,1.96406
V,2.95867
Cr,3.43691
Mn,2.99667
Fe,2.40767
Co,1.42081
Ni,0.43783
Cu,0.1326
Zn,0.0929
Ga,0.07722
Ge,0.25683
Se,0.94149
Y,0.74225
Zr,1.73579
Nb,2.76264
Mo,3.12019
Ru,1.21314
Rh,0.06531
Pd,0.18528
Ag,-0.12813
Cd,-0.18936
In,0.11871
Sn,0.22464
Sb,0.32435
La,0.78507
Ce,1.50568
Nd,0.74754
Sm,0.77912
Hf,2.02438
Ta,3.18982
W,3.85721
Re,3.06121
Os,1.87708
Ir,0.3527
Pt,0.05709
Au,0.21505
Hg,0.06845
Tl,0.021
Pb,0.18084
Bi,0.22871
B,1.95749
Pr,0.72178
