element,Z,r_atomic_pm,crystal,valency,chi,"Rule 1, logic","Rule 1, difference, pm","Rule 1, difference, %","Rule 2, logic","Rule 3, logic","Rule 3, valency difference, unit","Rule 3, valency of dopant is higher, logic","Rule 4, logic","Rule 4, difference, Pauling scale","Rule 4, %"
H,1,25,molecular,1,2.2,False,127,83.55263157894737,False,True,0,False,False,1.2200000000000002,55.45454545454545
Li,3,152,bcc,1,0.98,True,0,0.0,True,True,0,False,True,0.0,0.0
Be,4,112,hcp,2,1.57,False,40,26.31578947368421,False,False,1,True,False,0.5900000000000001,37.57961783439491
B,5,85,beta_rhombohedral,3,2.04,False,67,44.07894736842105,False,False,2,True,False,1.06,51.9607843137255
Na,11,186,bcc,1,0.93,True,-34,-18.27956989247312,True,True,0,False,True,0.04999999999999993,5.102040816326523
Mg,12,160,hcp,2,1.31,True,-8,-5.0,False,False,1,True,True,0.33000000000000007,25.190839694656493
Al,13,143,fcc,3,1.61,True,9,5.921052631578947,False,False,2,True,False,0.6300000000000001,39.1304347826087
Si,14,111,diamond,4,1.9,False,41,26.973684210526315,False,False,3,True,False,0.9199999999999999,48.421052631578945
K,19,227,bcc,1,0.82,True,-75,-33.03964757709251,True,True,0,False,True,0.16000000000000003,16.326530612244902
Ca,20,197,fcc,2,1.0,True,-45,-22.84263959390863,False,False,1,True,True,0.020000000000000018,2.0000000000000018
Sc,21,162,hcp,3,1.36,True,-10,-6.172839506172839,False,False,2,True,True,0.3800000000000001,27.941176470588243
Ti,22,147,hcp,4,1.54,True,5,3.289473684210526,False,False,3,True,False,0.56,36.36363636363637
V,23,134,bcc,5,1.63,True,18,11.842105263157894,True,False,4,True,False,0.6499999999999999,39.87730061349693
Cr,24,128,bcc,3,1.66,False,24,15.789473684210526,True,False,2,True,False,0.6799999999999999,40.963855421686745
Mn,25,127,complex,2,1.55,False,25,16.447368421052634,False,False,1,True,False,0.5700000000000001,36.7741935483871
Fe,26,126,bcc,2,1.83,False,26,17.105263157894736,True,False,1,True,False,0.8500000000000001,46.44808743169399
Co,27,125,hcp,2,1.88,False,27,17.763157894736842,False,False,1,True,False,0.8999999999999999,47.87234042553191
Ni,28,124,fcc,2,1.91,False,28,18.421052631578945,False,False,1,True,False,0.9299999999999999,48.69109947643979
Cu,29,128,fcc,1,1.9,False,24,15.789473684210526,False,True,0,False,False,0.9199999999999999,48.421052631578945
Zn,30,134,hcp,2,1.65,True,18,11.842105263157894,False,False,1,True,False,0.6699999999999999,40.60606060606061
Ga,31,135,ortho,3,1.81,True,17,11.18421052631579,False,False,2,True,False,0.8300000000000001,45.85635359116023
Ge,32,122,diamond,4,2.01,False,30,19.736842105263158,False,False,3,True,False,1.0299999999999998,51.243781094527364
As,33,119,rhombo,5,2.18,False,33,21.710526315789476,False,False,4,True,False,1.2000000000000002,55.04587155963303
